index	*ID	version	disabled	spawnable	disableChronicle	DropConditionCalc	firstLadderSeason	lastLadderSeason	rarity	nolimit	lvl	lvl req	code	*ItemName	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	diablocloneweight	*eol
Carrion Wing	752	100		1	1				1	1	85	85	6sb	Spider Bow		5	5000	cred	cred		invhbw				dmg%		300	350	dmg-fire		200	350	dmg-undead		200	200	extra-fire		25	35	fireskill		2	3	att-undead		300	300	oskill_hide	Hidden Charm Passive	1	1																						0
Elven Bow of Duadon	753	100		1	1				1	1	12	21	lbw	long bow		5	5000	dgrn	dgrn						dmg-norm		25	50	swing2		20	20	allskills		1	1	manasteal		4	6	regen		1	2	balance2		20	20	oskill_hide	Hidden Charm Passive	1	1																						0
Gale Song	754	100		1	1				1	1	85	87	6lw	hydra bow		5	5000	cblue	cblue		invlbw				dmg%		277	377	dmg-cold	25	211	411	ama		2	3	extra-cold		33	43	ease		25	25	swing1		15	30	oskill_hide	Hidden Charm Passive	1	1																						0
Silver Oak Bow	755	100		1	1				1	1	20	28	cbw	composite bow		5	5000	whit			invbow6				dmg-norm		32	55	att		200	200	dmg-undead		200	200	dmg-demon		100	100	regen-mana		50	50	str		15	15	ease		-15	-15	oskill_hide	Hidden Charm Passive	1	1																		0
Warpwind	756	100		1	1				1	1	12	25	cbw	composite bow		5	5000				invcbw				dmg%		125	175	dmg-norm		3	15	swing2		25	25	knock		1	1	skill	Multiple Shot	4	6	mana		35	35	oskill	Warp	1	1	oskill_hide	Hidden Charm Passive	1	1																		0
Shayira's Flight	757	100		1	1				1	1	22	29	sbb	short battle bow		5	5000	oran	oran						dmg-fire		80	100	dmg-ltng		10	200	dmg-cold	100	40	50	dmg%		100	130	dmg-norm		10	20	all-stats		5	5	oskill_hide	Hidden Charm Passive	1	1																						0
Willowsting	758	100		1	1				1	1	12	15	sbb	short battle bow		5	5000				invsbb				dmg%		125	175	hit-skill	Teeth	12	7	ease		-25	-25	balance2		20	20	gold%		50	100	lifesteal		6	6	oskill_hide	Hidden Charm Passive	1	1																						0
Kirre Strike	759	100		1	1				1	1	25	32	lbb	long battle bow		5	5000	dgld	dgld						dmg-norm		35	60	oskill	Strafe	3	3	res-fire		15	20	res-pois		40	50	knock		1	1	pierce		20	20	oskill_hide	Hidden Charm Passive	1	1																						0
Beeswarm	760	100		1	1				1	1	12	26	lbb	long battle bow		5	5000				invlbb				dmg%		140	190	dmg-norm		10	20	oskill	Multiple Shot	3	6	swing2		25	25	allskills		1	1	oskill_hide	Hidden Charm Passive	1	1																										0
Sylvan Battle Bow	761	100		1	1				1	1	22	35	swb	short war bow		5	5000	blac			invbow1				dmg-norm		35	70	swing3		30	30	hp%		10	10	mana%		20	20	oskill	Glacial Orb Arrow	2	5	allskills		1	1	oskill_hide	Hidden Charm Passive	1	1																						0
Ranger's Sting	762	100		1	1				1	1	16	29	swb	short war bow		5	5000				invbow5				dmg-min		5	15	dmg-max		30	45	allskills		1	1	swing2		20	20	oskill	Strafe	2	3	dex		35	35	manasteal		6	6	oskill_hide	Hidden Charm Passive	1	1																		0
Telena's War Bow	763	100		1	1				1	1	25	37	lwb	long war bow		5	5000	cblu	cblu						dmg-norm		40	80	swing2		25	25	lifesteal		5	7	mana-kill		7	7	addxp		2	5	dex		15	15	crush		10	10	oskill_hide	Hidden Charm Passive	1	1																		0
Final Flight	764	100		1	1				1	1	85	86	6s7	diamond bow		5	4000	dblue	dblue		invlwb				dmg%		333	333	dmg-max		100	200	pierce-cold		20	30	rip		1	1	dmg-cold	25	222	333	gethit-skill	Teleport	5	1	move1		30	30	oskill_hide	Hidden Charm Passive	1	1																		0
Teldicia's Sting	765	100		1	1				1	1	25	44	8sb	edge bow		5	5000	cgrn	cgrn		invbow8				dmg%		80	125	extra-pois		20	30	swing2		30	30	dmg-pois	75	333	333	dex		10	10	hp		50	50	oskill	Poison Explosion	8	10	oskill_hide	Hidden Charm Passive	1	1																		0
Dead World	766	100		1	1				1	1	23	35	8sb	edge bow		5	5000	blac	blac		invsbw				dmg%		175	225	swing2		25	25	dmg-undead		50	100	oskill	Guided Arrow	3	5	charged	Revive	8	35	pierce		25	25	lifesteal		6	6	oskill_hide	Hidden Charm Passive	1	1																		0
Sadira	767	100		1	1				1	1	85	90	6hb	blade bow		5	5000	blac	blac		invbow11				dmg%		301	399	dmg-max		200	300	extra-cold		25	40	skill	Dodge	3	5	skill	Glacial Orb Arrow	3	5	mana-kill		5	5	heal-kill	5	5		oskill_hide	Hidden Charm Passive	1	1																		0
Iceweaver	768	100		1	1				1	1	25	37	8hb	razor bow		5	5000	whit	whit		invhbw				dmg%		185	235	oskill	Glacial Orb Arrow	5	5	charged	Chilling Armor	3	10	hit-skill	Winters Pulse	10	2	dmg-cold	300	40	80	extra-cold		15	15	dmg-norm		20	40	oskill_hide	Hidden Charm Passive	1	1																		0
Chillwind	769	100		1	1				1	1	30	49	8lb	cedarbow		5	5000								dmg%		80	125	dmg-norm		25	50	aura	Holy Freeze	5	7	oskill	Freezing Arrow	5	5	lifesteal		7	9	swing1		20	30	extra-cold		10	15	allskills		1	2	oskill_hide	Hidden Charm Passive	1	1														0
Bow of the Dead	770	100		1	1				1	1	25	35	8lb	cedar bow		5	5000	dgry	dgry		invlbw				dmg%		190	240	dmg-undead		150	150	allskills		1	2	oskill	Raise Skeleton	3	5	oskill	Skeleton Mastery	5	8	cast1		20	30	oskill_hide	Hidden Charm Passive	1	1																						0
Larissa's Aim	771	100		1	1				1	1	85	85	6l7	crusader bow		5	5000				invbow7				dmg%		300	350	dmg-min		100	200	dmg-max		100	200	pierce-mag		15	20	skill	Strafe	3	5	aura	Blessed Aim	10	15	att		200	200	extra-mag		20	25	oskill_hide	Hidden Charm Passive	1	1														0
Ranger's Path	772	100		1	1				1	1	25	42	8cb	double bow		5	5000	dgrn	dgrn		invcbw				dmg%		150	220	allskills		2	2	swing2		25	25	dmg-max		40	60	oskill	Summon Grizzly	1	1	deadly/lvl	2			mag%		40	70	oskill_hide	Hidden Charm Passive	1	1																		0
Hailstrike	773	100		1	1				1	1	45	47	8s8	short siege bow		5	5000	dred	dred						dmg%		160	190	dmg-norm		35	70	skill	Cold Arrow	3	3	skill	Glacial Orb Arrow	5	5	hit-skill	Freezing Arrow	10	10	cold-len	300			mag%		40	40	oskill_hide	Hidden Charm Passive	1	1																		0
Pride's Paradox	774	100		1	1				1	1	35	45	8s8	short siege bow		5	5000	oran	oran		invsbb				dmg%		200	255	knock		2	2	dmg-cold	75	50	100	freeze		1	1	pierce		30	30	sock		2	3	oskill_hide	Hidden Charm Passive	1	1																						0
Heartseeker	775	100		1	1				1	1	45	54	8l8	long siege bow		5	5000								dmg%		175	200	deadly		100	100	noheal		1	1	openwounds		50	50	lifesteal		6	8	att		50	50	allskills		1	1	oskill_hide	Hidden Charm Passive	1	1																		0
Crimson Crusade	776	100		1	1				1	1	38	48	8l8	long siege bow		5	5000	dred	dred		invlbb				dmg%		210	265	swing2		20	20	hp		45	45	mana		65	65	bloody		1	1	dmg-fire		50	100	openwounds		30	30	dmg-norm		20	40	oskill_hide	Hidden Charm Passive	1	1														0
Dune Runner	777	100		1	1				1	1	45	56	8sw	rune bow		5	5000				invbow2				dmg%		150	190	dmg-norm		35	70	move3		30	30	balance2		35	35	heal-kill		10	12	oskill	Weaken	1	1	skill	Magic Arrow	5	5	oskill_hide	Hidden Charm Passive	1	1																		0
Remorhaz	778	100		1	1				1	1	40	50	8sw	rune bow		5	5000	cblu			invbow12				dmg%		225	275	swing3		40	40	ama		1	1	res-fire		75	75	pierce-fire		30	30	oskill	Meteoric Arrow	3	3	charged	Lower Resist	30	10	move3		30	30	oskill_hide	Hidden Charm Passive	1	1														0
Ghost Mount	779	100		1	1				1	1	55	59	8lw	gothic bow		5	5000								dmg%		200	240	dmg-norm		20	40	res-all		20	30	move3		30	30	dex		20	30	move1		15	25	swing1		15	25	skilltab	0	2	3	oskill_hide	Hidden Charm Passive	1	1														0
Harper's Call	780	100		1	1				1	1	44	53	8lw	gothic bow		5	5000	oran	oran		invlwb				dmg%		225	275	dmg/lvl	8			allskills		1	1	all-stats		15	15	ease		-20	-20	regen		12	15	manasteal		8	8	oskill_hide	Hidden Charm Passive	1	1																		0
Arachnid's Bite	781	100		1	1				1	1	57	65	6sb	spider bow		5	5000								dmg%		250	300	dmg-pois	100	900	900	dmg-pois/lvl	64			hit-skill	Venom	15	30	reanimate	769	15	15	balance1		15	15	allskills		2	2	res-pois		50	50	oskill_hide	Hidden Charm Passive	1	1														0
Black Widow	782	100		1	1				1	1	50	60	6sb	Spider Bow		5	5000	blac	blac						dmg%		175	225	swing2		20	20	hit-skill	Venom	10	20	hit-skill	Decrepify	10	1	fade		1	1	move3		50	50	dex/lvl	6			oskill_hide	Hidden Charm Passive	1	1																		0
Foxfire Leaf	783	100		1	1				1	1	85	89	6hb	blade bow		5	5000				invbow13				dmg%		300	350	dmg-fire		200	400	dmg-fire/lvl	48			extra-fire		20	30	res-all		20	30	gold%		100	100	mag%		35	75	oskill_hide	Hidden Charm Passive	1	1																		0
Razor Strike	784	100		1	1				1	1	70	80	6hb	Blade Bow		5	5000	dpur	dpur						dmg%		300	350	bloody		1	1	openwounds		30	50	crush		20	20	dex		25	25	aura	Fanaticism	5	10	oskill_hide	Hidden Charm Passive	1	1																						0
Golgomere	785	100		1	1				1	1	66	72	6lb	shadow bow		5	5000								dmg%		300	340	dmg-norm		35	70	aura	Cleansing	5	5	hit-skill	Lightning Bolt	15	30	extra-ltng		20	30	swing1		30	30	oskill_hide	Hidden Charm Passive	1	1																						0
Death Shade	786	100		1	1				1	1	50	60	6lb	Shadow Bow		5	5000	blac	blac						dmg%		220	270	swing2		25	25	oskill	Raise Skeleton	5	5	oskill	Skeleton Mastery	5	12	res-all		25	35	oskill	Summon Resist	5	8	oskill_hide	Hidden Charm Passive	1	1																						0
Radament's Bite	787	100		1	1				1	1	68	74	6cb	great bow		5	5000	cred	cred		invbow9				dmg%		200	250	nec		1	2	swing2		30	40	skill	Poison Explosion	2	3	extra-pois		20	30	pierce-pois		10	20	res-all		20	30	kill-skill	Corpse Explosion	13	7	oskill_hide	Hidden Charm Passive	1	1														0
Phantom Pegasus	788	100		1	1				1	1	56	64	6cb	Great Bow		5	5000	oran			invbow4				dmg%		200	300	move3		25	25	vit		35	35	cast2		25	25	allskills		2	2	addxp		12	12	hp%		15	25	oskill_hide	Hidden Charm Passive	1	1																		0
Nine Lives Stealer	789	100		1	1				1	1	71	77	6s7	diamond bow		5	5000	blac	blac						dmg%		200	240	hit-skill	Arc	15	20	lifesteal		9	9	heal-kill		9	9	mana-kill		9	9	nofreeze		1	1	skilltab	0	1	3	oskill_hide	Hidden Charm Passive	1	1																		0
Celestial Strike	790	100		1	1				1	1	60	67	6s7	Diamond Bow		5	5000	dblu	dblu						dmg%		150	200	dmg-cold	150	100	200	dmg-fire		250	400	dmg-ltng		1	500	manasteal		8	10	lifesteal		6	12	all-stats		20	30	kill-skill	Inner Sight	25	10	dmg-norm		20	40	oskill_hide	Hidden Charm Passive	1	1										0
Elflord's Victory	791	100		1	1				1	1	74	79	6l7	crusader bow		5	5000								dmg%		300	361	dmg/lvl	16			ama		1	2	skilltab	0	1	3	swing2		30	30	str		20	20	balance3		40	40	oskill_hide	Hidden Charm Passive	1	1																		0
Patron of Perversity	792	100		1	1				1	1	85	85	6sw	ward bow		5	5000				invbow3				dmg%		250	300	allskills		2	2	swing3		40	40	balance2		25	25	oskill	Magic Arrow	15	20	pierce		50	50	dmg-norm		50	100	oskill	Fanaticism	6	6	oskill_hide	Hidden Charm Passive	1	1														0
Adamantine Bow	793	100		1	1				1	1	70	80	6lw	hydra bow		5	5000								dmg-min		150	200	dmg-max		275	400	red-dmg%		10	15	res-mag		10	15	hit-skill	Multiple Shot	10	20	swing1		15	15	allskills		1	2	skilltab	0	2	2	oskill_hide	Hidden Charm Passive	1	1														0
Replenishing Quiver	794	100			1				1	1	1	6	z01	Arrows		5	5000	oran	oran		invarro1				dmg-norm		2	8	swing1		10	10	rep-quant	100			oskill_hide	Hidden Charm Passive	1	1																																		0
Quiver of Piercing	795	100		1	1				1	1	1	35	z01	Arrows		5	5000	cblu	cblu		invarro2				dmg-norm		4	12	swing1		15	15	pierce		15	15	rep-quant	100			oskill_hide	Hidden Charm Passive	1	1																														0
Quiver of Slaying	796	100		1	1				1	1	1	65	z01	Arrows		5	5000	blac	blac		invarro3				dmg-norm		5	20	swing1		20	20	pierce		25	25	skilltab	0	1	1	rep-quant	100			oskill_hide	Hidden Charm Passive	1	1																										0
Rethral Bolt	797	100		1	1				1	1	17	25	lxb	light crossbow		5	5000	dred	dred		invcbow4				dmg-norm		20	40	swing2		20	20	ama		1	1	dmg-ltng		1	40	red-dmg%		10	15	sock		1	1	oskill_hide	Hidden Charm Passive	1	1																						0
Nail Flinger	798	100		1	1				1	1	1	12	lxb	light crossbow		5	5000				invlxb				dmg%		100	150	dmg-max		7	12	pierce		50	50	red-dmg		4	6	red-mag		2	5	oskill_hide	Hidden Charm Passive	1	1																										0
Piercing Bolt	799	100		1	1				1	1	17	25	mxb	crossbow		5	5000				invcbow5				dmg-norm		25	50	pierce		100	100	res-all		20	30	knock		1	1	att%		20	20	lifesteal		5	5	addxp		2	3	oskill_hide	Hidden Charm Passive	1	1																		0
Janglebright	800	100		1	1				1	1	6	18	mxb	crossbow		5	5000	whit	whit		invmxb				dmg%		125	175	light		3	5	res-all		25	25	balance2		15	15	swing1		10	10	sock		1	1	oskill_hide	Hidden Charm Passive	1	1																						0
Harpo Bogglinn	801	100		1	1				1	1	25	32	hxb	heavy crossbow		5	5000								dmg-norm		25	50	swing1		10	10	slow		10	10	pierce-fire		10	10	extra-fire		10	10	allskills		1	1	oskill_hide	Hidden Charm Passive	1	1																						0
Spikethrower	802	100		1	1				1	1	12	24	hxb	heavy crossbow		5	5000				invhxb				dmg%		150	200	dmg-norm		10	20	crush		10	10	deadly		25	25	noheal		1	1	ama		1	1	oskill_hide	Hidden Charm Passive	1	1																						0
Synthalus	803	100		1	1				1	1	25	35	rxb	repeating crossbow		5	5000				invcbow3				dmg-norm		35	70	att		200	200	balance2		20	20	dex		15	15	mana		35	35	dmg/lvl	4			magicarrow		1	1	hit-skill	Quickness	5	1	oskill_hide	Hidden Charm Passive	1	1														0
King's Nail	804	100		1	1				1	1	25	30	rxb	repeating crossbow		5	5000				invrxb				allskills		1	1	oskill	Guided Arrow	3	5	swing2		30	30	lifesteal		5	5	manasteal		3	3	gold%		50	50	hit-skill	Decrepify	15	3	dmg-min		10	20	dmg-max		30	50	dmg%		100	125	oskill_hide	Hidden Charm Passive	1	1						0
Kyuss' Crossbow	805	100		1	1				1	1	40	48	8lx	arbalest		5	5000				invcbow6				dmg%		175	220	swing2		20	20	oskill	Freezing Arrow	3	5	heal-kill		10	15	regen-mana		60	60	mag%		30	50	gold%		75	75	oskill_hide	Hidden Charm Passive	1	1																		0
Garlana Firebolt	806	100		1	1				1	1	24	38	8lx	arbalest		5	5000	dred	dred		invlxb				dmg%		180	240	swing2		25	25	allskills		1	1	oskill	Exploding Arrow	3	5	res-cold		25	40	dmg-norm		15	30	fireskill		2	2	oskill_hide	Hidden Charm Passive	1	1																		0
Giant Hair Crossbow	807	100		1	1				1	1	40	53	8mx	siege crossbow		5	5000								dmg%		200	250	swing3		40	40	ignore-ac		1	1	lifesteal		6	6	dmg-max		25	25	ease		15	15	aura	Might	2	3	oskill_hide	Hidden Charm Passive	1	1																		0
Raven Myst	808	100		1	1				1	1	32	43	8mx	siege crossbow		5	5000	whit	whit		invmxb				dmg%		150	150	dmg/lvl	13			swing3		30	30	oskill	Raven	3	5	aura	Meditation	3	6	sock		2	2	knock		1	1	ravenhits		2	3	oskill_hide	Hidden Charm Passive	1	1														0
Whyte Stag	809	100		1	1				1	1	40	56	8hx	ballista		5	5000	whit	whit						dmg%		200	300	dmg-cold	100	100	200	freeze		1	1	noheal		1	1	half-freeze		1	1	res-cold		35	50	sock		1	1	oskill_hide	Hidden Charm Passive	1	1																		0
Senmet's Boltcaster	810	100		1	1				1	1	36	47	8hx	ballista		5	5000				invcbow1				dmg%		200	250	swing2		25	25	heal-kill		15	15	addxp		5	5	charged	Battle Orders	10	10	balance2		20	20	hit-skill	Terror	15	5	oskill_hide	Hidden Charm Passive	1	1																		0
Ashira's Stunbeam	811	100		1	1				1	1	55	61	8rx	chu-ko-nu		5	5000				invcbow8				dmg-norm		75	150	swing2		30	30	lifesteal		6	8	manasteal		5	7	hit-skill	Storm Shard	15	5	all-stats		15	15	mana		40	40	oskill_hide	Hidden Charm Passive	1	1																		0
Widow's Refrain	812	100		1	1				1	1	44	54	8rx	chu-ko-nu		5	5000	dgry	dgry		invrxb				dmg%		215	270	swing2		20	20	dmg-norm		25	50	charged	Quickness	17	12	charged	Fade	22	8	dmg-to-mana		12	12	rip		1	1	oskill_hide	Hidden Charm Passive	1	1																		0
Stoneblaster	813	100		1	1				1	1	59	67	6lx	pellet bow		5	5000	dgry	dgry						dmg%		250	300	knock		1	1	hit-skill	Decrepify	10	5	stupidity		1	1	swing2		15	15	addxp		3	3	oskill_hide	Hidden Charm Passive	1	1																						0
Doubleshot Machine	814	100		1	1				1	1	45	55	6lx	Pellet Bow		6	6000								oskill	Multiple Shot	1	3	pierce		50	50	dmg%		150	250	sock		2	3	dmg-norm		40	80	oskill_hide	Hidden Charm Passive	1	1																										0
Wightslayer	815	100		1	1				1	1	68	74	6mx	gorgon crossbow		5	5000	lgrn	lgrn		invcbow2				dmg%		220	260	skill	Poison Explosion	4	6	extra-pois		20	30	pierce-pois		15	20	swing2		30	40	pierce		20	30	reanimate	767	5	10	oskill_hide	Hidden Charm Passive	1	1																		0
Grey Render	816	100		1	1				1	1	56	64	6mx	Gorgon Crossbow		5	5000	lgry	lgry						dmg%		200	300	swing2		15	15	manasteal		5	8	mana		35	60	ama		2	2	crush		15	20	ignore-ac		1	1	oskill_hide	Hidden Charm Passive	1	1																		0
Bluebeard	817	100		1	1				1	1	74	79	6hx	colossus crossbow		5	5000	dblu	dblu						dmg%		175	200	swing2		20	20	coldskill		3	3	skill	Freezing Arrow	2	4	skill	Cold Arrow	2	4	dmg-cold	100	100	200	pierce-cold		15	20	extra-cold		20	25	oskill_hide	Hidden Charm Passive	1	1														0
Thor's Bolt	818	100		1	1				1	1	85	85	6rx	demon crossbow		5	5000				invcbow7				dmg-min		50	100	dmg-max		200	300	dmg-ltng		1	800	hit-skill	Lightning Bolt	20	30	res-ltng		40	50	extra-ltng		30	40	aura	Holy Shock	15	20	allskills		2	3	oskill_hide	Hidden Charm Passive	1	1														0
Replenishing Bolt Case	819	100			1				1	1	1	6	z02	Bolts		5	5000	oran	oran						dmg-norm		2	8	swing1		10	10	rep-quant	100			oskill_hide	Hidden Charm Passive	1	1																																		0
Bolt Case of Piercing	820	100			1				1	1	1	35	z02	Bolts		5	5000	cblu	cblu						dmg-norm		4	12	swing1		15	15	pierce		15	15	rep-quant	100			oskill_hide	Hidden Charm Passive	1	1																														0
Bolt Case of Slaying	821	100			1				1	1	1	65	z02	Bolts		5	5000	blac	blac						dmg-norm		5	20	swing1		20	20	pierce		15	15	skilltab	0	1	1	rep-quant	100			oskill_hide	Hidden Charm Passive	1	1																										0
Hippogriff Wing	822	100		1	1				1	1	12	21	jav	javelin		5	5000	dgld	dgld						dmg-norm		20	40	dmg%		65	90	swing1		15	15	allskills		1	1	move1		15	15	rep-quant	100			oskill_hide	Hidden Charm Passive	1	1																						0
Leafrazor	823	100		1	1				1	1	1	6	jav	javelin		5	5000								dmg%		100	150	rep-quant	100			stack		75	75	dmg-norm		2	4	deadly		35	35	pierce		40	40	skill	Critical Strike	1	2	oskill_hide	Hidden Charm Passive	1	1																		0
Stone Eater	824	100		1	1				1	1	1	3	jav	Javelin		5	5000	lgry	lgry						dmg-norm		3	8	hp		20	20	ac		45	75	red-dmg		2	4	red-mag		2	4	block		10	15	rep-quant	100			oskill_hide	Hidden Charm Passive	1	1																		0
Amazon's Kiss	825	100		1	1				1	1	12	23	pil	pilum		5	5000	lred	lred		invjav2				dmg%		70	100	dmg-norm		25	45	ama		1	1	lifesteal		5	8	stack		150	150	regen		4	8	res-fire		15	30	rep-quant	100			oskill_hide	Hidden Charm Passive	1	1														0
Skyglow	826	100		1	1				1	1	12	15	pil	pilum		5	5000	oran	oran						dmg%		50	50	rep-quant	100			stack		75	75	dmg-fire		20	30	ama		1	1	block2		20	20	heal-kill		5	5	oskill_hide	Hidden Charm Passive	1	1																		0
Luck Chaser	827	100		1	1				1	1	1	11	pil	Pilum		5	5000				invjav6				dmg%		60	100	allskills		1	1	mag%		50	50	oskill	Critical Strike	1	1	swing1		15	15	res-ltng		25	25	stack		75	75	rep-quant	100			oskill_hide	Hidden Charm Passive	1	1														0
Chaos Flight	828	100		1	1				1	1	25	27	ssp	short spear		5	5000	oran	oran						dmg%		75	100	dmg-norm		25	50	rep-quant	100			stack		50	50	rip		1	1	addxp		2	5	ignore-ac		1	1	oskill_hide	Hidden Charm Passive	1	1																		0
Teeth of Infinity	829	100		1	1				1	1	12	21	ssp	short spear		5	5000				invjav9				dmg%		135	185	rep-quant	100			stack		75	75	oskill	Teeth	5	5	oskill	BloodGolem	1	1	swing2		20	20	lifesteal		7	7	oskill_hide	Hidden Charm Passive	1	1																		0
Pridebreaker	830	100		1	1				1	1	12	14	ssp	Short Spear		5	5000	whit	whit						dmg%		60	100	rep-quant	100			dmg-norm		5	10	dmg-demon		75	75	att		75	75	stack		30	30	oskill_hide	Hidden Charm Passive	1	1																						0
Cadin'Sor	831	100		1	1				1	1	25	33	glv	glaive		5	5000	blac	blac						dmg%		80	100	dmg-norm		30	55	stack		60	60	res-ltng		20	30	dex		15	15	oskill	Melee Mastery	1	1	res-pois		15	25	rep-quant	100			oskill_hide	Hidden Charm Passive	1	1														0
Sting of Humiliation	832	100		1	1				1	1	16	21	glv	glaive		5	5000								dmg%		160	200	rep-quant	100			stack		100	100	bar		1	1	skill	Double Throw	2	3	howl		13	13	res-all		20	35	oskill_hide	Hidden Charm Passive	1	1																		0
Mind Creche	833	100		1	1				1	1	12	15	glv	Glaive		5	5000	oran							dmg%		90	120	mana		40	40	ease		-35	-35	cast1		15	15	oskill	Poison Javelin	1	2	deadly		25	40	stupidity		1	1	rep-quant	100			oskill_hide	Hidden Charm Passive	1	1														0
Dancing Scarecrow	834	100		1	1				1	1	25	37	tsp	throwing spear		5	5000								dmg-norm		50	100	swing1		15	15	balance1		15	15	cast1		15	15	block1		15	15	att		200	200	knock		1	1	pierce		33	33	rep-quant	100			oskill_hide	Hidden Charm Passive	1	1										0
Splinterfreeze	835	100		1	1				1	1	25	32	tsp	throwing spear		5	5000	cblu	cblu		invjav1				dmg%		180	200	rep-quant	100			stack		125	125	hit-skill	Winters Pulse	8	1	aura	Holy Freeze	3	5	oskill	Frozen Orb	1	1	pierce-cold		10	15	mana		75	75	oskill_hide	Hidden Charm Passive	1	1														0
Baba Yaga's Needle	836	100		1	1				1	1	25	29	tsp	Throwing Spear		5	5000								dmg%		100	145	rep-quant	100			lifesteal		6	8	extra-pois		15	20	move2		25	25	stack		40	40	abs-mag		3	7	oskill_hide	Hidden Charm Passive	1	1																		0
Aiel Javelins	837	100		1	1				1	1	40	54	9ja	war javelin		5	5000								dmg%		100	125	dmg-norm		35	70	dmg/lvl	4			rep-quant	100			swing2		20	20	pierce		25	25	reduce-ac		15	15	oskill_hide	Hidden Charm Passive	1	1																		0
Rhyme of the Bard	838	100		1	1				1	1	25	37	9ja	war javelin		5	5000	lpur	lpur						dmg%		200	250	rep-quant	100			stack		60	60	charged	Battle Orders	200	3	charged	Shout	200	3	charged	War Cry	200	2	swing3		35	35	oskill_hide	Hidden Charm Passive	1	1																		0
Killing Spree	839	100		1	1				1	1	24	31	9ja	War Javelin		5	5000	dyel	dyel						dmg%		165	210	rep-quant	20			stack		25	25	openwounds		30	30	deadly		25	25	heal-kill		5	5	crush		10	10	oskill_hide	Hidden Charm Passive	1	1																		0
Gnomebane	840	100		1	1				1	1	40	47	9pi	great pilum		5	5000				invjav3				dmg%		100	125	dmg-norm		35	70	dmg/lvl	6			allskills		1	1	oskill	Melee Mastery	1	1	stack		65	65	res-ltng		25	35	hp		35	55	rep-quant	100			oskill_hide	Hidden Charm Passive	1	1										0
Weeping at the Gate	841	100		1	1				1	1	25	35	9pi	great pilum		5	5000	lgrn	lgrn						dmg%		200	250	rep-quant	100			stack		65	65	mana		65	65	dmg-to-mana		25	25	regen-mana		50	50	red-dmg%		10	15	oskill_hide	Hidden Charm Passive	1	1																		0
Trump of Jericho	842	100		1	1				1	1	25	35	9pi	Great Pilum		5	5000	lyel	lyel						dmg%		150	200	rep-quant	100			mag%		35	50	ac/lvl	10			swing2		25	25	str		25	25	dex		25	25	oskill_hide	Hidden Charm Passive	1	1																		0
Artemis's Spiculum	843	100		1	1				1	1	39	55	9s9	simbilan		5	5000	oran	oran						dmg%		100	125	dmg-norm		40	80	dmg/lvl	6			stack		75	75	mag%		35	35	pierce-ltng		10	15	extra-ltng		10	15	rep-quant	100			oskill_hide	Hidden Charm Passive	1	1														0
Cursed One	844	100		1	1				1	1	25	35	9s9	simbilan		5	5000	blac	blac						dmg%		200	250	rep-quant	100			stack		70	70	gethit-skill	Life Tap	12	5	regen		-10	-10	dmg/lvl	6			str		15	25	oskill_hide	Hidden Charm Passive	1	1																		0
Hatemonger	845	100		1	1				1	1	25	29	9s9	Simbilan		5	5000				invjav7				dmg%		140	225	ac-hth		200	256	regen		10	15	manasteal		7	7	lifesteal		7	7	dmg-norm		20	40	oskill	Attract	5	5	rep-quant	100			oskill_hide	Hidden Charm Passive	1	1														0
Flight of Confusion	846	100		1	1				1	1	55	65	9gl	spiculum		5	5000	cred	cred						dmg%		150	200	dmg-norm		45	90	dmg/lvl	7			stack		100	100	rep-quant	100			stupidity		2	2	swing2		20	20	hit-skill	Attract	10	5	oskill_hide	Hidden Charm Passive	1	1														0
Blessed One	847	100		1	1				1	1	40	50	9gl	spiculum		5	5000	whit	whit						dmg%		215	265	rep-quant	100			stack		75	75	aura	Prayer	5	15	block		25	25	ac		70	100	all-stats		10	10	allskills		1	1	oskill_hide	Hidden Charm Passive	1	1														0
Warbreeder	848	100		1	1				1	1	25	41	9gl	Spiculum		5	5000	blac	blac						dmg%		150	200	rep-quant	100			res-all		15	20	hp		50	75	oskill	Charged Strike	6	6	pierce-ltng		15	20	slow		5	10	dmg-ltng		1	250	oskill_hide	Hidden Charm Passive	1	1														0
Silver-Tipped Harpoons	849	100		1	1				1	1	85	85	7ts	winged harpoon		5	5000	whit	whit						dmg%		250	300	dmg-norm		40	120	dmg/lvl	16			stack		45	45	allskills		2	2	res-all		20	30	dmg-undead		200	200	dmg-ltng		15	300	rep-quant	100			oskill_hide	Hidden Charm Passive	1	1										0
Blessings of Osiris	850	100		1	1				1	1	43	54	9ts	harpoon		5	5000	oran	oran						dmg%		225	270	rep-quant	100			stack		80	80	oskill	Lightning Fury	3	5	pierce-ltng		10	10	res-ltng		35	60	swing1		25	35	hp%		10	15	oskill_hide	Hidden Charm Passive	1	1														0
