index	*ID	version	enabled	firstLadderSeason	lastLadderSeason	rarity	nolimit	lvl	lvl req	code	*ItemName	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	diablocloneweight	*eol
Warmth of Ash	672	100	1			1	1	32	40	wst	war staff		5	5000	dgry			invstaf12				fireskill		5	5	dmg-min		15	25	dmg-max		60	80	dmg-fire		75	100	res-fire		65	65	abs-cold		10	20	skill-rand	2	36	65	oskill_hide	393	1	1																		0
Riddlesolver	673	100	1			3	1	15	29	wst	war staff		5	5000				invstaf2				dmg%		150	200	skill-rand	2	36	65	skill-rand	3	36	65	skill-rand	3	36	65	sor		1	1	cast2		25	25	balance2		30	30	oskill_hide	393	1	1																		0
Arctic Frost	674	100	1			1	1	55	45	8ss	jo staff		5	5000	lblu	lblu		invstaf10				skilltab	5	4	4	extra-cold		25	25	abs-cold%		25	25	pierce-cold		35	35	res-fire		80	100	oskill_hide	393	1	1																										0
Staff of Shadows	675	100	1			3	1	24	36	8ss	jo staff		5	5000	blac	blac		invsst				skill-rand	3	36	65	skill-rand	3	36	65	skill-rand	3	36	65	cast2		20	20	gethit-skill	Dim Vision	11	2	red-dmg		8	12					allskills		1	1	oskill_hide	393	1	1														0
Ter'Angreal	676	100	1			1	1	55	50	8ls	quarterstaff		5	5000	whit	whit						sor		2	2	cast3		40	40	mana%		50	50	addxp		5	5	mana-kill		20	20	dmg-to-mana		15	25	oskill_hide	393	1	1																						0
Silence of the Sphinx	677	100	1			3	1	28	39	8ls	quarterstaff		5	5000				invstaf4				skill-rand	2	36	65	skill-rand	2	36	65	skill-rand	2	36	65	sor		2	2	dmg-to-mana		15	15	addxp		3	5	cheap		10	15	mag%		60	60	sock		2	2	oskill_hide	393	1	1										0
Staff of Valere	678	100	1			1	1	55	56	8cs	cedar staff		5	5000				invstaf5				dmg-min		30	50	dmg-max		100	150	swing3		45	45	red-dmg%		15	20	str		15	15	dex		25	25	dru		1	1	cast2		15	15	oskill_hide	393	1	1														0
Ruby Dawn	679	100	1			3	1	32	42	8cs	cedar staff		5	5000	cred	cred		invcst				skill-rand	4	66	95	skill-rand	3	66	95	skill-rand	2	66	95	nec		2	2	cast2		20	20	mana%		15	15	oskill	fire mastery	3	6	oskill	Fire Ball	6	8	oskill_hide	393	1	1														0
Knight's Prophet	680	100	1			1	1	55	60	8bs	gothic staff		5	5000				invstaf7				dmg-min		35	70	dmg-max		150	250	pal		3	3	res-all		40	50	move2		25	25	swing2		25	25	manasteal		4	7	lifesteal		7	7	oskill	whirlwind	3	3	oskill_hide	393	1	1										0
Grace of Isis	681	100	1			3	1	37	47	8bs	gothic staff		5	5000	dgld	dgld		invbst				dmg%		200	265	dru		1	2	skill-rand	3	221	250	skill-rand	2	221	250	skill-rand	3	221	250	dmg-norm		30	60	swing3		40	40	ignore-ac		1	1	crush		20	20	oskill_hide	393	1	1										0
Arcane Protection	682	100	1			1	1	55	65	8ws	rune staff		5	5000	dgrn	dgrn						sor		2	2	res-all		35	50	red-mag		25	25	gethit-skill	Frozen Armor	13	4	charged	Energy Shield	27	9	dmg-to-mana		50	50	regen-mana		200	200	oskill_hide	393	1	1																		0
Survivor's Sonata	683	100	1			3	1	42	50	8ws	rune staff		5	5000				invstaf13				skill	Nova	3	5	skill	Chilling Armor	3	5	hp		75	75	cast2		25	25	allskills		2	2	addxp		5	5	gold%		200	200	mag%/lvl	10			oskill_hide	393	1	1														0
Road to Perdition	684	100	1			1	1	59	67	6ss	walking stick		5	5000	lgry	lgry						allskills		3	3	mag%		200	300	cast2		40	40	mana/lvl	16			oskill_hide	393	1	1																														0
Jadrik's Torment	685	100	1			2	1	40	49	6ss	Walking Stick		5	5000				invstaf8				enr		35	35	cast3		40	40	move3		50	50	dmg%		200	300	swing3		55	55	str		-50	-50	hp		200	200	oskill_hide	393	1	1																		0
Ogden's Wisdom	686	100	1			1	1	63	69	6ls	stalagmite		5	5000				invstaf6				allskills		2	2	cast2		20	20	enr		35	35	addxp		3	5	heal-kill		15	15	cheap		10	10	skill-rand	5	36	65	skill-rand	5	36	65	skill-rand	5	36	65	oskill_hide	393	1	1										0
Gorgon Strength	687	100	1			2	1	46	55	6ls	Stalagmite		5	5000	oran	oran						str		100	100	mana		150	150	sor		3	3	mag%/lvl	8			res-all		25	25	ac/lvl	40			oskill_hide	393	1	1																						0
Light of Ra	688	100	1			1	1	66	73	6cs	elder staff		5	5000	whit	whit		invcst				skilltab	4	5	5	skill	Thunder Storm	3	5	skill	Lightning Mastery	3	5	light		5	5	thorns/lvl	10			sock		3	3	oskill_hide	393	1	1																						0
Summoner's Risk	689	100	1			1	1	73	79	6bs	Shillelagh		5	5000				invbst				oskill	bloodgolem	6	8	oskill	golem mastery	20	20	dmg-to-mana		35	35	cast2		30	30	res-all		100	100	balance3		40	40	regen		3	5	oskill_hide	393	1	1																		0
Sanctuary	690	100	1			2	1	70	76	6bs	Shillelagh		5	5000	cred							cast2		20	20	mana		220	220	ac		350	550	red-dmg%		50	50	sor		2	2	mana%		25	25	oskill_hide	393	1	1																						0
Everkeeper	691	100	1			1	1	80	85	6ws	archon staff		5	5000				invstaf11				allskills		1	1	dmg-min		150	200	dmg-max		350	400	rep-dur	25			ignore-ac		1	1	swing3		40	40	regen		20	20	dmg%		300	340	oskill_hide	393	1	1														0
Acolyte's Wand	692	100	1			1	1	24	25	wnd	wand		5	5000	lblu	lblu		invwnd				nec		1	1	cast2		20	20	mana		44	44	regen-mana		50	50	skill-rand	2	66	90	skill-rand	2	66	90	oskill_hide	393	1	1																						0
Bitter Sorrow	693	100	1			3	1	1	9	wnd	wand		5	5000				invwand1				dmg-min		2	7	dmg-max		12	20	skill-rand	3	66	75	skill-rand	3	66	75	sock		2	2	oskill_hide	393	1	1																										0
Ladrina's Enchantment	694	100	1			1	1	30	30	ywn	yew wand		5	5000	dgld	dgld		invywn				charged	Amplify Damage	200	12	charged	Life Tap	33	7	charged	Static Field	19	20	charged	Thunder Storm	7	27	charged	Slow Missiles	112	29	charged	War Cry	61	15	charged	Cyclone Armor	17	20	oskill_hide	393	1	1																		0
Ire of Astaroth	695	100	1			3	1	7	19	ywn	yew wand		5	5000								skill-rand	1	66	80	skill-rand	2	66	80	skill-rand	2	66	80	skill-rand	3	66	80	nec		1	1	mana		40	40	cast2		25	25	oskill_hide	393	1	1																		0
Skeleton's Claw	696	100	1			1	1	34	33	bwn	bone wand		5	5000	whit	whit		invbwn				dmg-min		10	20	dmg-max		40	60	lifesteal		10	15	swing2		20	20	skill	Skeleton Mastery	3	5	hp		50	75	mag%		25	30	allskills		1	1	oskill_hide	393	1	1														0
Child's Laughter	697	100	1			3	1	16	26	bwn	bone wand		5	5000								skill	Weaken	3	5	skill	Terror	3	5	skill	Confuse	3	5	levelup-skill	nova	100	40	mag%		50	50	addxp		4	4	extra-pois		25	25	oskill_hide	393	1	1																		0
Dracolich Fang	698	100	1			1	1	37	37	gwn	grim wand		5	5000	cgrn	cgrn		invgwn				nec		1	1	lifesteal		100	100	manasteal		100	100	regen		6	10	regen-mana		35	80	red-dmg%		10	10	nofreeze		1	1	res-pois-len		80	90	oskill_hide	393	1	1														0
Scream of Despair	699	100	1			3	1	22	32	gwn	grim wand		5	5000								nec		2	2	skill-rand	3	66	95	skill-rand	5	66	95	gethit-skill	Terror	25	8	mana		20	20	hp		50	50	str		20	20	oskill_hide	393	1	1																		0
Epoch's End	700	100	1			1	1	55	43	9wn	burnt wand		5	5000				invwand2				allskills		1	1	mana/lvl	8			hp/lvl	8			extra-pois		20	30	res-pois		45	65	res-pois-len		50	50	oskill	FireGolem	3	5	oskill_hide	393	1	1																		0
Apocalypse Fire	701	100	1			3	1	28	39	9wn	burnt wand		5	5000	dred	dred		invwnd				charged	Hydra	100	30	charged	Fire Wall	100	30	charged	Firestorm	100	30	charged	Volcano	100	30	addxp		10	10	res-all		65	65	cast2		25	25	allskills		1	1	oskill_hide	393	1	1														0
Huclavee's Flinch	702	100	1			3	1	34	42	9yw	petrified wand		5	5000				invywn				dmg-norm		40	80	dmg%		175	200	swing3		35	35	knock		3	3	slow		25	25	oskill	zeal	8	8	lifesteal		8	8	oskill_hide	393	1	1																		0
Asylum's Ward	703	100	1			1	1	55	49	9bw	tomb wand		5	5000								nec		2	2	skill-rand	2	66	95	skill-rand	2	66	95	skill-rand	3	66	95	charged	Weaken	42	8	gethit-skill	Confuse	6	4	red-mag		10	15	oskill_hide	393	1	1																		0
Wand of Fireballs	704	100	1			3	1	38	45	9bw	tomb wand		5	5000	oran	oran		invbwn				gethit-skill	Fire Ball	100	15	all-stats		20	20	skill-rand	3	66	95	skill-rand	3	66	95	allskills		1	1	cast2		25	25	sock		1	1	oskill_hide	393	1	1																		0
Nullwand	705	100	1			1	1	55	53	9gw	grave wand		5	5000								allskills		2	2	res-all		40	60	red-dmg%		20	25	abs-fire		10	10	abs-ltng		10	10	abs-cold		10	10	nofreeze		1	1	res-pois-len		70	70	oskill_hide	393	1	1														0
Gravedancer's Union	706	100	1			3	1	40	49	9gw	grave wand		5	5000	dgry	dgry		invgwn				skill-rand	1	66	95	skill-rand	2	66	95	skill-rand	3	66	95	skill	Skeleton Mastery	2	5	mana		100	100	res-cold		25	40	res-pois		50	50	heal-kill		10	15	oskill_hide	393	1	1														0
Voice of Reason	707	100	1			1	1	62	68	7wn	polished wand		5	5000				invwand3				enr		30	30	addxp		3	5	cheap		15	15	cast2		25	25	skill-rand	3	66	95	skill-rand	3	66	95	skilltab	6	2	3	oskill_hide	393	1	1																		0
Darkmantle	708	100	1			2	1	40	50	7wn	Polished Wand		5	5000	blac	blac						nec		1	3	oskill	dim vision	5	5	mana		50	50	skill-rand	7	66	95	rip		1	1	cast3		40	40	regen		34	34	ac/lvl	24			oskill_hide	393	1	1														0
Chorus of the Cursed	709	100	1			1	1	66	73	7yw	ghost wand		5	5000	dpur	dpur		invywn				allskills		2	2	skilltab	6	2	2	res-mag		20	20	gethit-skill	Lower Resist	3	18	dex		20	20	str		20	20	oskill	revive	1	1	oskill_hide	393	1	1																		0
Spectral Image	710	100	1			2	1	54	61	7yw	Ghost Wand		5	5000								allskills		1	1	res-all		25	35	addxp		5	10	abs-cold%		15	20	abs-ltng%		15	20	abs-fire%		15	20	skilltab	8	2	5	oskill_hide	393	1	1																		0
Vengeance of the Wronged	711	100	1			1	1	72	79	7bw	lich wand		5	5000				invbwn				nec		3	3	skill-rand	10	66	95	death-skill	Poison Nova	100	50	mana		75	100	hp		75	100	mana-kill		3	5	addxp		3	5	oskill_hide	393	1	1																		0
Pull of Darkness	712	100	1			1	1	81	86	7gw	unearthed wand		5	5000				invgwn				allskills		2	2	gold%		125	125	mag%		60	60	skill	Bone Spirit	7	15	move3		40	40	block		25	25	block2		20	20	oskill_hide	393	1	1																		0
Freedom's Flight	713	100	1			1	1	24	25	sbw	short bow		5	5000								dmg-norm		20	40	swing1		20	20	skilltab	0	1	3	att%		50	50	skill	Magic Arrow	10	10	oskill_hide	393	1	1																										0
Violetwing	714	100	1			3	1	1	7	sbw	short bow		5	5000	dpur	dpur		invsbw				dmg-norm		4	8	swing1		15	15	skill	Magic Arrow	3	3	move2		20	20	oskill_hide	393	1	1																														0
Centaur's Arc	715	100	1			1	1	25	26	hbw	hunter's bow		5	5000				invbow10				dmg-norm		23	45	balance1		20	20	dmg-ltng		1	100	lifesteal		4	6	vit		15	15	oskill	Magic Arrow	1	3	oskill_hide	393	1	1																						0
Carrion Wing	716	100	1			3	1	1	10	hbw	hunter's bow		5	5000	dgry	dgry		invhbw				dmg%		100	150	dmg-max		6	10	dmg-undead		200	200	extra-fire		20	20	sock		1	2	oskill_hide	393	1	1																										0
Elven Bow of Duadon	717	100	1			1	1	26	27	lbw	long bow		5	5000	dgrn	dgrn						dmg-norm		25	50	swing2		20	20	allskills		1	1	manasteal		4	6	regen		1	2	balance2		20	20	oskill_hide	393	1	1																						0
Gale Song	718	100	1			3	1	4	16	lbw	long bow		5	5000				invlbw				dmg%		100	150	dmg-norm		5	12	ama		1	1	howl		129	129	dex		20	20	ease		-25	-25	oskill_hide	393	1	1																						0
Silver Oak Bow	719	100	1			1	1	27	28	cbw	composite bow		5	5000	whit			invbow6				dmg-norm		32	55	att		200	200	dmg-undead		200	200	dmg-demon		100	100	regen-mana		50	50	str		15	15	ease		-15	-15	oskill_hide	393	1	1																		0
Warpwind	720	100	1			3	1	8	21	cbw	composite bow		5	5000				invcbw				dmg%		125	175	dmg-norm		3	15	swing2		25	25	knock		1	1	skill	Multiple Shot	6	6	mana		35	35	oskill_hide	393	1	1																						0
Shayira's Flight	721	100	1			1	1	28	29	sbb	short battle bow		5	5000	oran	oran						dmg-fire		80	100	dmg-ltng		10	200	dmg-cold	100	40	50	dmg%		100	130	dmg-norm		10	20	all-stats		5	5	oskill_hide	393	1	1																						0
Willowsting	722	100	1			3	1	7	22	sbb	short battle bow		5	5000				invsbb				dmg%		125	175	gethit-skill	Teeth	12	7	ease		-25	-25	balance2		20	20	gold%		50	100	lifesteal		6	6	oskill_hide	393	1	1																						0
Kirre Strike	723	100	1			1	1	29	32	lbb	long battle bow		5	5000	dgld	dgld						dmg-norm		35	60	oskill	strafe	3	3	res-fire		15	20	res-pois		40	50	knock		1	1	pierce		20	20	oskill_hide	393	1	1																						0
Beeswarm	724	100	1			3	1	12	26	lbb	long battle bow		5	5000				invlbb				dmg%		140	190	dmg-norm		10	20	oskill	multiple shot	6	6	swing2		25	25	allskills		1	1	oskill_hide	393	1	1																										0
Sylvan Battle Bow	725	100	1			1	1	30	35	swb	short war bow		5	5000	blac			invbow1				dmg-norm		35	70	swing3		30	30	hp%		10	10	mana%		20	20	oskill	ice arrow	2	2	ama		1	1	skilltab	0	1	2	oskill_hide	393	1	1																		0
Ranger's Sting	726	100	1			3	1	16	29	swb	short war bow		5	5000				invbow5				dmg-min		5	15	dmg-max		30	45	bar		2	2	swing2		20	20	oskill	strafe	6	6	dex		35	35	manasteal		6	6	oskill_hide	393	1	1																		0
Telena's War Bow	727	100	1			1	1	31	37	lwb	long war bow		5	5000	cblu	cblu						dmg-norm		40	80	swing2		25	25	lifesteal		5	7	mana-kill		7	7	addxp		2	2	dex		15	15	crush		10	15	oskill_hide	393	1	1																		0
Final Flight	728	100	1			3	1	20	31	lwb	long war bow		5	4000				invlwb				dmg-min		10	20	dmg-max		40	60	dmg%		100	125	rip		1	1	addxp		5	5	gethit-skill	Teleport	10	1	ac		100	100	oskill_hide	393	1	1																		0
Teldicia's Sting	729	100	1			1	1	55	44	8sb	edge bow		5	5000				invbow8				dmg%		80	125	dmg-norm		25	50	swing2		30	30	dmg-pois	75	333	333	dex		10	10	hp		50	50	gethit-skill	Guided Arrow	7	1	oskill_hide	393	1	1																		0
Dead World	730	100	1			3	1	23	35	8sb	edge bow		5	5000	blac	blac		invsbw				dmg%		175	225	swing2		25	25	regen		5	5	oskill	guided arrow	4	4	charged	Revive	8	35	pierce		25	25	lifesteal		6	6	oskill_hide	393	1	1																		0
Sadira	731	100	1			1	1	55	46	8hb	razor bow		5	5000				invbow11				dmg%		80	125	dmg-norm		25	50	dmg-ltng		25	100	res-all		20	20	mana-kill		5	5	regen-mana		75	75	sock		1	1	oskill_hide	393	1	1																		0
Iceweaver	732	100	1			3	1	25	37	8hb	razor bow		5	5000	whit	whit		invhbw				dmg%		185	235	oskill	ice arrow	5	5	charged	Chilling Armor	3	10	gethit-skill	Frost Nova	8	4	dmg-cold	300	40	80	extra-cold		15	15	dmg-norm		20	40	oskill_hide	393	1	1																		0
Ravenclaw	733	100	1			1	1	55	49	8lb	cedarbow		5	5000								dmg%		80	125	dmg-norm		25	50	att%		20	20	oskill	pierce	1	1	lifesteal		7	9	mana		30	30	bar		2	2	swing1		15	15	oskill_hide	393	1	1														0
Bow of the Dead	734	100	1			3	1	30	40	8lb	cedar bow		5	5000	dgry	dgry		invlbw				dmg%		190	240	reanimate	649	10	10	res-cold		35	35	dmg-undead		150	150	manasteal		5	7	dex		20	20	allskills		1	1	oskill_hide	393	1	1																		0
Larissa's Aim	735	100	1			1	1	55	51	8cb	double bow		5	5000				invbow7				dmg%		175	220	dmg-norm		25	50	manasteal		5	5	vit		30	30	dex		15	15	res-cold		35	50	att		200	200	oskill_hide	393	1	1																		0
Ranger's Path	736	100	1			3	1	32	42	8cb	double bow		5	5000	dgrn	dgrn		invcbw				dmg%		195	250	allskills		2	2	swing2		25	25	dmg-max		30	40	charged	Summon Grizzly	5	10	deadly/lvl	12			mag%		40	70	oskill_hide	393	1	1																		0
Hailstrike	737	100	1			1	1	55	52	8s8	short siege bow		5	5000	dred	dred						dmg%		160	190	dmg-norm		35	70	skill	Cold Arrow	3	3	skill	Ice Arrow	5	5	gethit-skill	Freezing Arrow	4	1	cold-len	300			mag%		40	40	oskill_hide	393	1	1																		0
Pride's Paradox	738	100	1			3	1	35	45	8s8	short siege bow		5	5000	oran	oran		invsbb				dmg%		200	255	knock		2	2	dmg-cold	1000	1	1	freeze		3	3	pierce		30	30	sock		2	3	oskill_hide	393	1	1																						0
Heartseeker	739	100	1			1	1	55	54	8l8	long siege bow		5	5000								dmg%		175	200	deadly		100	100	noheal		1	1	openwounds		100	100	lifesteal		6	8	att%		50	50	ama		2	2	oskill_hide	393	1	1																		0
Crimson Crusade	740	100	1			3	1	38	48	8l8	long siege bow		5	5000	dred	dred		invlbb				dmg%		210	265	swing2		20	20	hp		45	45	mana		65	65	bloody		1	1	noheal		1	1	openwounds		100	100	dmg-norm		20	40	oskill_hide	393	1	1														0
Dune Runner	741	100	1			1	1	55	56	8sw	rune bow		5	5000				invbow2				dmg%		150	190	dmg-norm		35	70	move3		30	30	balance2		35	35	heal-kill		10	12	oskill	weaken	1	1	sock		2	2	oskill_hide	393	1	1																		0
Remorhaz	742	100	1			3	1	40	50	8sw	rune bow		5	5000	cblu			invbow12				dmg%		225	275	swing3		40	40	ama		1	1	res-fire		75	75	pierce-fire		30	30	oskill	immolation arrow	3	3	charged	Slow Missiles	100	10	move3		30	30	oskill_hide	393	1	1														0
Ghost Mount	743	100	1			1	1	55	59	8lw	gothic bow		5	5000								dmg%		200	240	dmg-norm		20	40	res-all		25	50	move3		30	30	dex		20	30	move1		15	15	swing1		15	15	skilltab	0	3	3	oskill_hide	393	1	1														0
Harper's Call	744	100	1			3	1	44	53	8lw	gothic bow		5	5000	oran	oran		invlwb				dmg%		225	275	dmg/lvl	8			allskills		1	1	all-stats		15	15	ease		-20	-20	regen		12	15	manasteal		8	8	oskill_hide	393	1	1																		0
Arachnid's Bite	745	100	1			1	1	57	65	6sb	spider bow		5	5000								dmg%		190	240	openwounds		50	100	dmg-pois	200	750	750	dmg-pois/lvl	56			stupidity		3	3	balance1		15	15	allskills		2	2	oskill_hide	393	1	1																		0
Black Widow	746	100	1			2	1	41	51	6sb	Spider Bow		5	5000	blac	blac						dmg%		175	225	swing2		20	20	dmg-pois	150	900	900	slow		25	25	fade		1	1	move3		50	50	dex/lvl	4			oskill_hide	393	1	1																		0
Foxfire Leaf	747	100	1			1	1	60	68	6hb	blade bow		5	5000				invbow13				dmg%		180	230	dmg-fire		200	400	dmg-fire/lvl	24			dex		15	15	res-all		20	30	gold%		100	100	mag%		35	35	oskill_hide	393	1	1																		0
Razor Strike	748	100	1			2	1	46	55	6hb	Blade Bow		5	5000	dpur	dpur						dmg%		200	250	bloody		1	1	noheal		1	1	crush		20	30	dex		25	25	sock		2	2	aura	fanaticism	1	1	oskill_hide	393	1	1																		0
Golgomere	749	100	1			1	1	66	72	6lb	shadow bow		5	5000								dmg%		200	240	dmg-norm		35	70	ease		-60	-60	magicarrow		1	1	cast2		25	25	mana/lvl	10			sor		2	2	oskill_hide	393	1	1																		0
Death Shade	750	100	1			2	1	50	60	6lb	Shadow Bow		5	5000	blac	blac						dmg%		220	270	swing2		25	25	oskill	revive	5	5	oskill	skeleton mastery	5	12	res-all		35	35	knock		2	2	oskill_hide	393	1	1																						0
Oathbow	751	100	1			1	1	68	74	6cb	great bow		5	5000				invbow9				dmg%		160	200	dmg-norm		40	90	addxp		2	5	all-stats		25	25	red-dmg		20	30	red-mag		20	30	res-mag		25	25	oskill_hide	393	1	1																		0
Phantom Pegasus	752	100	1			2	1	56	64	6cb	Great Bow		5	5000	oran			invbow4				dmg%		200	300	move3		25	25	vit		35	35	cast2		25	25	allskills		2	2	addxp		12	12	hp%		15	25	oskill_hide	393	1	1																		0
Nine Lives Stealer	753	100	1			1	1	71	77	6s7	diamond bow		5	5000	blac	blac						dmg%		200	240	gethit-skill	Chain Lightning	9	9	lifesteal		9	9	heal-kill		9	9	mana-kill		9	9	nofreeze		1	1	skilltab	0	1	3	oskill_hide	393	1	1																		0
Celestial Strike	754	100	1			2	1	60	67	6s7	Diamond Bow		5	5000	dblu	dblu						dmg%		100	150	dmg-cold	400	75	100	dmg-fire		250	400	dmg-ltng		1	500	manasteal		8	10	lifesteal		6	12	all-stats		20	30	kill-skill	inner sight	100	5	dmg-norm		20	40	oskill_hide	393	1	1										0
Elflord's Victory	755	100	1			1	1	74	79	6l7	crusader bow		5	5000								dmg%		190	250	dmg/lvl	8			ama		1	2	skilltab	0	1	3	swing2		30	30	str		20	20	balance3		40	40	oskill_hide	393	1	1																		0
Patron of Perversity	756	100	1			1	1	78	82	6sw	ward bow		5	5000				invbow3				dmg%		210	250	dru		2	2	swing3		40	40	balance2		25	25	oskill	magic arrow	15	20	noheal		1	1	dmg-norm		50	100	skill	Shape Shifting	4	7	oskill_hide	393	1	1														0
Adamantine Bow	757	100	1			1	1	80	73	6lw	hydra bow		5	5000								dmg-min		100	175	dmg-max		275	400	red-dmg%		15	15	res-mag		15	15	gethit-skill	Multiple Shot	6	20	swing1		15	15	allskills		1	2	skilltab	0	2	2	oskill_hide	393	1	1														0
Replenishing Quiver	758	100	0			1	1	1	6	z01	Arrows		5	5000	oran	oran		invarro1				dmg-norm		2	8	swing1		10	10	rep-quant	100			oskill_hide	393	1	1																																		0
Quiver of Piercing	759	100	1			1	1	1	35	z01	Arrows		5	5000	cblu	cblu		invarro2				dmg-norm		4	12	swing1		15	15	pierce		15	15	rep-quant	100			oskill_hide	393	1	1																														0
Quiver of Slaying	760	100	1			1	1	1	65	z01	Arrows		5	5000	blac	blac		invarro3				dmg-norm		5	20	swing1		20	20	pierce		25	25	skilltab	0	1	1	rep-quant	100			oskill_hide	393	1	1																										0
Rethral Bolt	761	100	1			1	1	25	25	lxb	light crossbow		5	5000	dred	dred		invcbow4				dmg-norm		20	40	swing2		20	20	ama		1	1	dmg-ltng		1	40	red-dmg%		10	15	sock		1	1	oskill_hide	393	1	1																						0
Nail Flinger	762	100	1			3	1	1	12	lxb	light crossbow		5	5000				invlxb				dmg%		100	150	dmg-max		7	12	pierce		100	100	red-dmg		4	6	red-mag		2	5	oskill_hide	393	1	1																										0
Piercing Bolt	763	100	1			1	1	28	28	mxb	crossbow		5	5000				invcbow5				dmg-norm		25	50	pierce		100	100	res-all		20	30	knock		1	1	att%		20	20	lifesteal		5	5	addxp		2	3	oskill_hide	393	1	1																		0
Janglebright	764	100	1			3	1	6	18	mxb	crossbow		5	5000	whit	whit		invmxb				dmg%		125	175	light		3	5	res-all		25	25	balance2		15	15	swing1		10	10	sock		1	1	oskill_hide	393	1	1																						0
Harpo Bogglinn	765	100	1			1	1	32	32	hxb	heavy crossbow		5	5000								dmg-norm		25	50	swing1		10	10	slow		15	15	pierce-fire		10	10	extra-fire		10	10	allskills		1	1	oskill_hide	393	1	1																						0
Spikethrower	766	100	1			3	1	10	24	hxb	heavy crossbow		5	5000				invhxb				dmg%		150	200	dmg-norm		10	20	crush		25	25	deadly		25	25	noheal		1	1	ama		1	1	oskill_hide	393	1	1																						0
Synthalus	767	100	1			1	1	33	35	rxb	repeating crossbow		5	5000				invcbow3				dmg-norm		35	70	att		200	200	balance2		20	20	dex		15	15	mana		35	35	dmg/lvl	4			magicarrow		1	1																						0
King's Nail	768	100	1			3	1	15	30	rxb	repeating crossbow		5	5000				invrxb				allskills		1	1	oskill	guided arrow	3	5	swing2		30	30	lifesteal		5	5	manasteal		3	3	gold%		50	50	hit-skill	Decrepify	15	3	dmg-min		10	20	dmg-max		30	50	dmg%		100	125	oskill_hide	393	1	1						0
Kyuss' Crossbow	769	100	1			1	1	55	48	8lx	arbalest		5	5000				invcbow6				dmg%		175	220	swing2		20	20	oskill	freezing arrow	1	1	heal-kill		10	15	regen-mana		60	60	mag%		30	50	gold%		75	75	oskill_hide	393	1	1																		0
Garlana Firebolt	770	100	1			3	1	24	38	8lx	arbalest		5	5000	dred	dred		invlxb				dmg%		180	240	swing2		25	25	ama		1	1	oskill	exploding arrow	6	6	res-cold		25	40	dmg-norm		15	30	fireskill		2	2	oskill_hide	393	1	1																		0
Giant Hair Crossbow	771	100	1			1	1	55	53	8mx	siege crossbow		5	5000								dmg%		200	250	swing3		40	40	ignore-ac		1	1	lifesteal		6	6	dmg-max		25	25	ease		15	15	pierce-cold		10	15	oskill_hide	393	1	1																		0
Raven Myst	772	100	1			3	1	32	43	8mx	siege crossbow		5	5000	whit	whit		invmxb				dmg%		150	150	dmg/lvl	13			swing3		30	30	oskill	raven	5	5	aura	120	3	6	sock		2	2	knock		1	1	oskill_hide	393	1	1																		0
Whyte Stag	773	100	1			1	1	55	56	8hx	ballista		5	5000	whit	whit						dmg%		200	300	dmg-cold	300	100	200	freeze		1	1	noheal		1	1	half-freeze		1	1	res-cold		35	50	sock		1	1	oskill_hide	393	1	1																		0
Senmet's Boltcaster	774	100	1			3	1	36	47	8hx	ballista		5	5000				invcbow1				dmg%		200	250	swing2		25	25	heal-kill		15	15	addxp		5	5	charged	Battle Orders	10	10	balance2		20	20	magicarrow		1	1	oskill_hide	393	1	1																		0
Ashira's Stunbeam	775	100	1			1	1	55	61	8rx	chu-ko-nu		5	5000				invcbow8				dmg-norm		75	150	swing2		30	30	lifesteal		6	8	manasteal		5	7	gethit-skill	Charged Bolt	100	5	all-stats		15	15	mana		40	40	oskill_hide	393	1	1																		0
Widow's Refrain	776	100	1			3	1	44	54	8rx	chu-ko-nu		5	5000	dgry	dgry		invrxb				dmg%		215	270	swing2		20	20	dmg-norm		25	50	charged	quickness	17	12	charged	fade	22	8	dmg-to-mana		12	12	rip		1	1	oskill_hide	393	1	1																		0
Stoneblaster	777	100	1			1	1	59	67	6lx	pellet bow		5	5000	dgry	dgry						dmg%		200	240	knock		1	1	slow		20	20	stupidity		1	1	swing2		15	15	addxp		3	3	oskill_hide	393	1	1																						0
Doubleshot Machine	778	100	1			2	1	45	55	6lx	Pellet Bow		6	6000								oskill	multiple shot	1	3	pierce		100	100	dmg%		150	250	sock		2	3	dmg-norm		40	80	oskill_hide	393	1	1																										0
Wightslayer	779	100	1			1	1	68	74	6mx	gorgon crossbow		5	5000				invcbow2				dmg%		220	260	dmg-undead		175	175	att-undead		300	300	red-dmg%		10	15	red-mag		15	25	oskill_hide	393	1	1																										0
Grey Render	780	100	1			2	1	56	64	6mx	Gorgon Crossbow		5	5000	lgry	lgry						dmg%		200	300	swing2		25	25	manasteal		5	8	mana		35	60	ama		2	2	crush		25	25	ignore-ac		1	1	oskill_hide	393	1	1																		0
