Id	*hcIdx	BaseId	NextInClass	TransLvl	NameStr	MonStatsEx	MonProp	MonType	AI	DescStr	Code	enabled	rangedtype	placespawn	spawn	spawnx	spawny	spawnmode	minion1	minion2	SetBoss	BossXfer	PartyMin	PartyMax	MinGrp	MaxGrp	sparsePopulate	Velocity	Run	Rarity	Level	Level(N)	Level(H)	MonSound	UMonSound	threat	aidel	aidel(N)	aidel(H)	aidist	aidist(N)	aidist(H)	aip1	aip1(N)	aip1(H)	aip2	aip2(N)	aip2(H)	aip3	aip3(N)	aip3(H)	aip4	aip4(N)	aip4(H)	aip5	aip5(N)	aip5(H)	aip6	aip6(N)	aip6(H)	aip7	aip7(N)	aip7(H)	aip8	aip8(N)	aip8(H)	MissA1	MissA2	MissS1	MissS2	MissS3	MissS4	MissC	MissSQ	Align	isSpawn	isMelee	npc	interact	inventory	inTown	lUndead	hUndead	demon	flying	opendoors	boss	primeevil	killable	switchai	noAura	nomultishot	neverCount	petIgnore	deathDmg	genericSpawn	zoo	CannotDesecrate	rightArmItemType	leftArmItemType	canNotUseTwoHandedItems	SendSkills	Skill1	Sk1mode	Sk1lvl	Skill2	Sk2mode	Sk2lvl	Skill3	Sk3mode	Sk3lvl	Skill4	Sk4mode	Sk4lvl	Skill5	Sk5mode	Sk5lvl	Skill6	Sk6mode	Sk6lvl	Skill7	Sk7mode	Sk7lvl	Skill8	Sk8mode	Sk8lvl	Drain	Drain(N)	Drain(H)	coldeffect	coldeffect(N)	coldeffect(H)	ResDm	ResMa	ResFi	ResLi	ResCo	ResPo	ResDm(N)	ResMa(N)	ResFi(N)	ResLi(N)	ResCo(N)	ResPo(N)	ResDm(H)	ResMa(H)	ResFi(H)	ResLi(H)	ResCo(H)	ResPo(H)	DamageRegen	SkillDamage	noRatio	ShieldBlockOverride	ToBlock	ToBlock(N)	ToBlock(H)	Crit	minHP	maxHP	AC	Exp	A1MinD	A1MaxD	A1TH	A2MinD	A2MaxD	A2TH	S1MinD	S1MaxD	S1TH	MinHP(N)	MaxHP(N)	AC(N)	Exp(N)	A1MinD(N)	A1MaxD(N)	A1TH(N)	A2MinD(N)	A2MaxD(N)	A2TH(N)	S1MinD(N)	S1MaxD(N)	S1TH(N)	MinHP(H)	MaxHP(H)	AC(H)	Exp(H)	A1MinD(H)	A1MaxD(H)	A1TH(H)	A2MinD(H)	A2MaxD(H)	A2TH(H)	S1MinD(H)	S1MaxD(H)	S1TH(H)	El1Mode	El1Type	El1Pct	El1MinD	El1MaxD	El1Dur	El1Pct(N)	El1MinD(N)	El1MaxD(N)	El1Dur(N)	El1Pct(H)	El1MinD(H)	El1MaxD(H)	El1Dur(H)	El2Mode	El2Type	El2Pct	El2MinD	El2MaxD	El2Dur	El2Pct(N)	El2MinD(N)	El2MaxD(N)	El2Dur(N)	El2Pct(H)	El2MinD(H)	El2MaxD(H)	El2Dur(H)	El3Mode	El3Type	El3Pct	El3MinD	El3MaxD	El3Dur	El3Pct(N)	El3MinD(N)	El3MaxD(N)	El3Dur(N)	El3Pct(H)	El3MinD(H)	El3MaxD(H)	El3Dur(H)	TreasureClass	TreasureClassChamp	TreasureClassUnique	TreasureClassQuest	TreasureClassDesecrated	TreasureClassDesecratedChamp	TreasureClassDesecratedUnique	TreasureClass(N)	TreasureClassChamp(N)	TreasureClassUnique(N)	TreasureClassQuest(N)	TreasureClassDesecrated(N)	TreasureClassDesecratedChamp(N)	TreasureClassDesecratedUnique(N)	TreasureClass(H)	TreasureClassChamp(H)	TreasureClassUnique(H)	TreasureClassQuest(H)	TreasureClassDesecrated(H)	TreasureClassDesecratedChamp(H)	TreasureClassDesecratedUnique(H)	TCQuestId	TCQuestCP	SplEndDeath	SplGetModeChart	SplEndGeneric	SplClientEnd	*eol
mephistospirit	401	mephistospirit		0	Dummy	mephistospirit		undead	Spirit		M6	1													1	1		0	0	0	24	55	85				15	15	15																																						1																1																																					-50	-40	-33	90	90	90	90	90	70	90	90	90	90	90	90	40	90	90	90	90	90	2							5	1267			503	144	219	125											140	200	125											140	200	125																																																	Trapped Soul	Trapped Soul	Trapped Soul					Trapped Soul (N)	Trapped Soul (N)	Trapped Soul (N)					Trapped Soul (H)	Trapped Soul (H)	Trapped Soul (H)											0
smith	402	smith		0	The Smith	smith		demon	Smith		5P	1													1	2		8	8	0	10	42	79	smith	smith	11	12	11	6		40	46																																			1							1		1			1																																						100	85	66	-50	-40	-33	20		20	20	20	20	30		40	40	40	40	40		60	60	60	60	0				13	13	13	5	400	400	84	151	101	129	115							800	800	105	227	90	110	146							1300	1300	120	204	90	110	146							A1	fire					15	30	60		30	40	80																														Smith	Smith	Smith		Smith Desecrated A	Smith Desecrated A	Smith Desecrated A	Smith (N)	Smith (N)	Smith (N)		Smith (N) Desecrated A	Smith (N) Desecrated A	Smith (N) Desecrated A	Smith (H)	Smith (H)	Smith (H)		Smith (H) Desecrated A	Smith (H) Desecrated A	Smith (H) Desecrated A							0
trappedsoul1	403	trappedsoul1		0	TrappedSoul	trappedsoul1			TrappedSoul		10	1													2	6		0	0	1	30	57	75	trappedsoul1	trappedsoul1	4	15	15	15																																						1												1				1																																		100	85	75								70	70					99	90					99	90	2							5	57	76	2	1	16	37	148	16	37	148				50	70	55	30	30	60	180	30	60	180				53	74	55	27	30	60	180	30	60	180																																														Trapped Soul	Trapped Soul	Trapped Soul					Trapped Soul (N)	Trapped Soul (N)	Trapped Soul (N)					Trapped Soul (H)	Trapped Soul (H)	Trapped Soul (H)								1	1	1	0
trappedsoul2	404	trappedsoul2		0	TrappedSoul	trappedsoul2			TrappedSoul		13	1													2	6		0	0	1	30	57	75	trappedsoul2	trappedsoul2	4	15	15	15																																						1												1				1																																		100	85	75								70	70					99	90					99	90	2							5	57	76	2	1	16	37	148	16	37	148				50	70	55	30	30	60	180	30	60	180				53	74	55	27	30	60	180	30	60	180																																														Trapped Soul	Trapped Soul	Trapped Soul					Trapped Soul (N)	Trapped Soul (N)	Trapped Soul (N)					Trapped Soul (H)	Trapped Soul (H)	Trapped Soul (H)								1	1	1	0
jamella	405	jamella		0	Jamella	jamella		human	Npc		ja	1													1	1		2	2	0				jamella	jamella		15	15	15																																				1		1	1	1	1	1									1																																																													2																																																																																																																				0
izualghost	406	izualghost		0	Izual	izualghost			NpcStationary		17	1													1	1		0	0	0				izualspirit	izualspirit		15	15	15																																				1			1	1											1																																																													2																																																																																																																				0
fetish11	407	fetish11		0	RatMan	fetish11		fetish	Fetish		FE	1							fetish3	fetishblow3	1	1	2	7	2	2		6	6	0	10	43	76	fetish	fetish	10	15	15	15				0	0	0	55	55	55	20	20	20	0	0	0	0	0	0																			1	1									1			1	1													SkeletonRaise	seq_fethisraise	1																						100	85	75	-50	-40	-33																			2				11	11	11	5	64	110	84	76	29	86	125							50	80	110	85	40	90	125							53	84	110	77	40	90	125																																																	Act 3 H2H B	Act 3 Champ B	Act 3 Unique B					Act 3 (N) H2H B	Act 3 (N) Champ B	Act 3 (N) Unique B			Act 3 (N) Champ B Desecrated	Act 3 (N) Unique B Desecrated	Act 3 (H) H2H B	Act 3 (H) Champ B	Act 3 (H) Unique B			Act 3 (H) Champ B Desecrated	Act 3 (H) Unique B Desecrated							0
malachai	408	malachai		0	Malachai	malachai		human	Buffy		36	1													1	1		2	2	0				mednpc	mednpc		15	15	15																																				1		1	1	1	1	1									1																																																													2																																																																																																																				0
hephasto	409	hephasto		0	Hephasto	hephasto		demon	Smith		5P	1													1	2		9	9	0	25	60	88	smithdemon	smithdemon	12	12	11	6		40	46																																			1							1		1			1																																						100	85	75	-50	-40	-33						-50						-50	50		75	25	25		0				30	30	30	5	1000	1000	107	339	151	226	112							1500	1500	100	339	140	170	110							2000	2000	100	305	140	170	110							A1	fire					25	30	60		50	40	80																														Hephasto	Hephasto	Hephasto		Hephasto Desecrated A	Hephasto Desecrated A	Hephasto Desecrated A	Hephasto (N)	Hephasto (N)	Hephasto (N)		Hephasto (N) Desecrated A	Hephasto (N) Desecrated A	Hephasto (N) Desecrated A	Hephasto (H)	Hephasto (H)	Hephasto (H)		Hephasto (H) Desecrated A	Hephasto (H) Desecrated A	Hephasto (H) Desecrated A							0
Expansion																																																																																																																																																																																																																																																																										0	0
wakeofdestruction	410	wakeofdestruction		0	Wake of Destruction	wakeofdestruction		construct	AssassinSentry		e9	1													1	1		0	0	0							15	15	15				100	100	100	10	10	10	15	15	15	15	15	15	0	0	0																		1	1													1	1			1										Wake Of Destruction Sentry	S2	1																									-50	-50	-50																			2		1						100	100	100											100	100	100											105	105	100														5	10																																																																	0
chargeboltsentry	411	chargeboltsentry		0	Charged Bolt Sentry	chargeboltsentry		construct	AssassinSentry		lg	1													1	1		0	0	0				lightningsentry	lightningsentry		15	15	15				100	100	100	10	10	10	15	15	15	25	25	25	0	0	0																		1	1													1	1			1									2	BoltSentry	seq_chargesentry	1	Shock Field	S1	0																						-50	-50	-50																			2		1						100	100	100											100	100	100											105	105	100																																																																																0
lightningsentry	412	lightningsentry		0	Lightning Sentry	lightningsentry		construct	AssassinSentry		lg	1													1	1		0	0	0				lightningsentry	lightningsentry		15	15	15				100	100	100	10	10	10	15	15	15	25	25	25	0	0	0																		1	1													1	1			1										sentry lightning	seq_chargesentry	1																									-50	-50	-50																			2		1						100	100	100											100	100	100											105	105	100																																																																																0
bladecreeper	413	bladecreeper		0	Blade Creeper	bladecreeper		construct	BladeCreeper		b8	1													1	1		15	15	0				bladecreeper	bladecreeper		15	15	15																																				1	1									1				1	1			1										Blade Sentinel	A1	1																																														2		1						100	100	100											100	100	100											105	105	100																																																																																0
invisopet	414	invisopet		0	Invis Pet	invisopet			InvisoPet		k9	1													1	1		0	0	0							15	15	15				16	16	16	15	15	15	0	0	0	0	0	0	0	0	0																		1	1					1												1																																					-50	-50	-50																			2		1																																																																																																																		0
infernosentry	415	infernosentry		0	Inferno Sentry	infernosentry		construct	AssassinSentry		e9	1													1	1		0	0	0							15	15	15				100	100	100	10	10	10	15	15	15	13	13	13	0	0	0																		1	1													1	1			1									2	mon inferno sentry	seq_infernosentry	1	Wake of Fire Sentry	S1	0																						-50	-50	-50																			2		1						100	100	100											100	100	100											105	105	100																																																																																0
deathsentry	416	deathsentry		0	Death Sentry	deathsentry		construct	DeathSentry		lg	1													1	1		0	0	0				lightningsentry	lightningsentry		15	15	15				30	30	30	0	0	0	50	50	50	16	16	16	0	0	0																		1	1													1	1			1										mon death sentry	seq_chargesentry	1	death sentry ltng	seq_chargesentry	1																						-50	-50	-50																			2		1						100	100	100											100	100	100											105	105	100																																																																																0
shadowwarrior	417	shadowwarrior		0	Shadow Warrior	shadowwarrior			ShadowWarrior		k9	1													1	1		0	0	0				shadow	shadow	11	15	15	15				40	40	40	30	30	30	60	60	60	1	1	1										268	5	64									1	1	1			1	1					1			1	1			1										Fists of Fire	seq_swtigerfist	1	Blade Fury	seq_swbladefury	1	Blades of Ice	seq_swtigerfist	1	Dragon Claw	seq_swtigerfist	1	Dragon Flight	seq_swdragonflight	1	Claws of Thunder	seq_swtigerfist	1	Attack	A2	1							-50	-50	-50	40						40						40						3		1		50	50	50		376	376	196		0	0	163	0	0	163				376	376	196				243			243				395	395	196				323			323																																																																						1			0
shadowmaster	418	shadowmaster		0	Shadow Master	shadowmaster			ShadowMaster		k9	1													1	1		0	0	0				shadow	shadow	11	15	15	15				20	10	10	20	36	36	60	60	60													279											1	1	1			1	1					1			1	1			1										Fists of Fire	seq_swtigerfist	1	Blade Fury	seq_swbladefury	1	Blades of Ice	seq_swtigerfist	1	Dragon Claw	seq_swtigerfist	1	Dragon Flight	seq_swdragonflight	1	Claws of Thunder	seq_swtigerfist	1	Attack	A2	1							-50	-50	-50	40						40						40						2		1		50	50	50		376	376	196		0	0	163	0	0	163				376	376	196				243			243				395	395	196				323			323																																																																						1			0
druidhawk	419	druidhawk		0	Druid Hawk	druidhawk	druidhawk		Raven		hk	1													1	1		15	20	0				raven	raven		15	15	15				10	10	10	6	6	6	2	2	2	95	95	95	35	35	35																		1	1					1				1	1			1	1			1										Raven	NU	0																									-50	-50	-50																			2	Raven	1					5	20	32	25											20	32	25											42	34	25																																																																																0
spiritwolf	420	spiritwolf	fenris	1	Druid Spirit Wolf	spiritwolf	spiritwolf		DruidWolf		wf	1													1	1		10	10	0				wolf	wolf	10	15	15	15				15	15	15	0	0	0	25	25	25	35	35	35	35	35	35																		1	1	1				1				1	1			1	1			1										Teleport 2	S1	1																						100	85	75	-50	-50	-50																			4	Summon Spirit Wolf	1					5	183	183	67				50							223	223	67				50							330	330	67				50																																																																												0
fenris	421	spiritwolf		6	Druid Fenris	fenris	fenris		DruidWolf		wf	1													1	1		10	10	0				wolf	wolf	10	15	15	15	45	45	45	15	15	15	0	0	0	0	0	0	35	35	35	35	35	35																		1	1	1				1				1	1			1	1			1													Teleport 2	S1	1																			100	85	75	-50	-50	-50																			4	Summon Fenris	1					5	293	293	116				150							293	293	116				150							380	380	116				150																																																																												0
spiritofbarbs	422	spiritofbarbs	heartofwolverine	0	Spirit of Barbs	spiritofbarbs			Totem		x4	1													1	1		6	6	0				druidspirit	druidspirit	1	15	15	15				20	20	20	30	30	30	30	30	30	20	20	20	0	0	0																		1	1					1				1				1	1			1																																					-50	-50	-50	25	25	25	25	25	70	25	25	25	25	25	100	25	25	25	25	25	100	3		1						340	340	196											340	340	196											300	300	196																																																																																0
heartofwolverine	423	spiritofbarbs	oaksage	1	Heart of Wolverine	heartofwolverine			Totem		x3	1													1	1		6	6	0				druidspirit	druidspirit	1	15	15	15				20	20	20	30	30	30	30	30	30	20	20	20	0	0	0																		1	1					1				1				1	1			1																																					-50	-50	-50	25	25	25	25	25	70	25	25	25	25	25	100	25	25	25	25	25	100	3		1						136	136	123											136	136	123											300	300	123																																																																																0
oaksage	424	spiritofbarbs		2	Oak Sage	oaksage			Totem		xw	1													1	1		6	6	0				druidspirit	druidspirit	1	15	15	15				20	20	20	30	30	30	30	30	30	20	20	20	0	0	0																		1	1					1				1				1	1			1																																					-50	-50	-50	25	25	25	25	25	70	25	25	25	25	25	100	25	25	25	25	25	100	3		1						136	136	49											136	136	49											265	265	49																																																																																0
plaguepoppy	425	plaguepoppy		0	Druid Plague Poppy	plaguepoppy			Vines		k9	1													1	1		7	7	0							15	15	15				25	25	25	20	20	20	25	25	25	0	0	0	20	20	20																		1	1	1				1								1				1										Vine Attack	S1	1																									-50	-50	-50						99						99						99	3		1						165	165	25											165	165	25											240	240	25																																																																																0
cycleoflife	426	cycleoflife		0	Druid Cycle of Life	cycleoflife			CycleOfLife		k9	1													1	1		7	7	0							15	15	15				50	50	50	20	20	20	25	25	25	10	10	10	35	35	35																		1	1	1				1								1				1										CorpseCycler	S1	1																									-50	-50	-50																			3		1					5	165	165	92											165	165	92											240	240	92																																																																																0
vinecreature	427	vinecreature		0	Vine Creature	vinecreature	solarvine		Vines		k9	1													1	1		7	7	0							15	15	15				100	100	100	20	20	20	25	25	25	10	10	10	35	35	35																		1	1	1				1								1				1										Solar_Vine_Attack	S1	1																									-50	-50	-50																			3		1					5	165	165	165											165	165	165											240	240	165																																																																																0
druidbear	428	druidbear		0	Druid Bear	druidbear	druidbear		DruidBear		b7	1													1	1		10	10	0				bear	bear	12	15	15	15	45	45	45	10	10	10	0	0	0	0	0	0																								1	1					1				1	1			1	1			1																																		100	85	75	-50	-50	-50																			5	Summon Grizzly	1					5	1025	1025	245				300							1025	1025	245				300							1025	1025	245				300																																																																												0
eagle	429	eagle		0	Eagleexp	eagle			Idle		eg	1													1	1		6	6	0				foulcrow	foulcrow		15	15	15																																				1	1					1				1				1	1																																					100	85	75	-50	-50	-50																			2		1		48	48	48	5	36	58	95		4	14	93							115	184	102		4	15	138							209	335	110		5	20	183																																																																												0
wolf	430	wolf		0	Wolf	wolf			NecroPet		40	1													1	1		8	8	0				werewolf	werewolf	14	15	15	15																																				1	1					1				1				1	1																																					100	85	75	-50	-50	-50																			2		1		8	8	8	5	16	25	37		2	6	14	2	6	14				46	74	40		2	6	20	2	6	20				83	133	43		2	7	27	2	7	27																																																																									0
bear	431	bear		0	Bear	bear			NecroPet		TG	1													1	1		8	8	0				werebear	werebear	14	15	15	15																																				1	1					1				1				1	1																																					100	85	75	-50	-50	-50																			2		1						12	19	30		1	5	28							34	54	33		1	5	40							60	97	35		2	7	53																																																																												0
barricadedoor1	432	barricadedoor1	barricadedoor2	0	Barricade Door	barricadedoor1			Idle		AJ	1													1	1		0	0	0	26	35	67	barricadedoor	barricadedoor	6	15	15	15																																					1													1				1					1																																							50	99					50	99	50				66	99									95	152	88											150	200	35											158	210	35																																																																																0
barricadedoor2	433	barricadedoor1		1	Barricade Door	barricadedoor2			Idle		AG	1													1	1		0	0	0	26	35	67	barricadedoor	barricadedoor	6	15	15	15																																					1													1				1					1																																							50	99					50	99	50				66	99									95	152	88											150	200	35											158	210	35																																																																																0
prisondoor	434	prisondoor		0	Prison Door	prisondoor			Idle		2Q	1													1	1		0	0	0	26	35	67			6	15	15	15																																					1													1				1					1																																			25	25	25	25	25	99	25	25	25	25	25	99	25	25	25	25	66	99									49	95	88											50	95	30											53	100	30																																																																																0
barricadetower	435	barricadetower		0	Barricade Tower	barricadetower		construct	SiegeTower		ac	1													1	1		0	0	0	15	35	67	guardtower	guardtower	6	15	15	15				40	40	40																															1													1																																																50	99					50	99	75		99		66	99									385	576	88											700	800	35											735	840	35																																																																												2				0
reanimatedhorde1	436	reanimatedhorde1	reanimatedhorde2	0	RotWalker	reanimatedhorde1	speed_slow_monprop	zombie	ReanimatedHorde		re	1													4	8		1	5	2	31	61	81	reanimatedhorde	reanimatedhorde	10	15	14	13				30	45	55	20	15	12	12	15	18	20	25	30	20	25	25	65	65	65	25	22	19	30	22	15										1	1					1							1	1													Self-resurrect	S1	1	Charge	seq_reanimatedcharge	1																			100	75	66	-50	-33	-25						70						70	50			33	99	70	2				45	45	45	5	115	171	107	128	31	86	139	31	86	93				187	230	70	105	77	121	149	66	132	110				220	270	70	90	77	121	149	66	132	110																																														Act 5 H2H A	Act 5 Champ A	Act 5 Unique A					Act 5 (N) H2H A	Act 5 (N) Champ A	Act 5 (N) Unique A			Act 5 (N) Champ A Desecrated	Act 5 (N) Unique A Desecrated	Act 5 (H) H2H A	Act 5 (H) Champ A	Act 5 (H) Unique A			Act 5 (H) Champ A Desecrated	Act 5 (H) Unique A Desecrated							0
reanimatedhorde2	437	reanimatedhorde1	reanimatedhorde3	1	ReanimatedHorde	reanimatedhorde2	speed_slow_monprop	zombie	ReanimatedHorde		re	1													4	8		1	5	2	33	62	82	reanimatedhorde	reanimatedhorde	10	15	14	13				40	55	65	20	15	12	12	15	18	25	30	35	25	25	25	65	65	65	25	22	19	30	22	15										1	1					1							1	1							1						Self-resurrect	S1	1	Charge	seq_reanimatedcharge	1																			100	75	66	-50	-33	-25						80						80	50			33	99	80	2				47	47	47	5	114	171	107	135	34	86	138	34	86	93				187	230	70	105	77	121	149	66	132	110				220	270	70	90	77	121	149	66	132	110																																														Act 5 H2H B	Act 5 Champ A	Act 5 Unique A					Act 5 (N) H2H B	Act 5 (N) Champ A	Act 5 (N) Unique A			Act 5 (N) Champ A Desecrated	Act 5 (N) Unique A Desecrated	Act 5 (H) H2H B	Act 5 (H) Champ B	Act 5 (H) Unique B			Act 5 (H) Champ B Desecrated	Act 5 (H) Unique B Desecrated							0
reanimatedhorde3	438	reanimatedhorde1	reanimatedhorde4	2	ProwlingDead	reanimatedhorde3	speed_slow_monprop	zombie	ReanimatedHorde		re	1													4	8		2	5	2	35	63	83	reanimatedhorde	reanimatedhorde	10	15	14	13				50	65	70	20	15	12	12	15	18	25	35	40	25	25	25	65	65	65	25	22	19	30	22	15										1	1					1							1	1							1						Self-resurrect	S1	1	Charge	seq_reanimatedcharge	1																			100	75	66	-50	-33	-25						90						90	50			33	99	90	2				50	50	50	5	114	171	107	143	32	87	139	32	87	93				187	230	70	105	77	121	149	66	132	110				220	270	70	90	77	121	149	66	132	110																																														Act 5 H2H B	Act 5 Champ B	Act 5 Unique B					Act 5 (N) H2H B	Act 5 (N) Champ B	Act 5 (N) Unique B			Act 5 (N) Champ B Desecrated	Act 5 (N) Unique B Desecrated	Act 5 (H) H2H B	Act 5 (H) Champ B	Act 5 (H) Unique B			Act 5 (H) Champ B Desecrated	Act 5 (H) Unique B Desecrated							0
reanimatedhorde4	439	reanimatedhorde1	reanimatedhorde5	3	UnholyCorpse	reanimatedhorde4	speed_slow_monprop	zombie	ReanimatedHorde		re	1													4	8		2	5	2	40	64	84	reanimatedhorde	reanimatedhorde	10	15	14	13				60	70	80	20	15	12	12	15	18	30	40	40	30	30	30	65	65	65	25	22	19	30	22	15										1	1					1							1	1							1						Self-resurrect	S1	1	Charge	seq_reanimatedcharge	1																			100	75	66	-50	-33	-25	20		50			70	20		50			99	50		50	33	50	99	2				50	50	50	5	114	171	107	164	33	89	138	33	89	93				110	135	70	105	70	110	135	60	120	100				116	142	70	90	70	110	135	60	120	100																																														Act 5 H2H C	Act 5 Champ C	Act 5 Unique C					Act 5 (N) H2H C	Act 5 (N) Champ C	Act 5 (N) Unique C			Act 5 (N) Champ C Desecrated	Act 5 (N) Unique C Desecrated	Act 5 (H) H2H C	Act 5 (H) Champ C	Act 5 (H) Unique C			Act 5 (H) Champ C Desecrated	Act 5 (H) Unique C Desecrated							0
reanimatedhorde5	440	reanimatedhorde1	reanimatedhorde6	4	DefiledWarrior	reanimatedhorde5	speed_slow_monprop	zombie	ReanimatedHorde		re	1													4	8		3	5	2	42	65	85	reanimatedhorde	reanimatedhorde	10	15	14	13				70	80	85	20	15	12	12	15	18	35	45	45	35	35	35	65	65	65	25	22	19	30	22	15										1	1					1							1	1							1						Self-resurrect	S1	1	Charge	seq_reanimatedcharge	1																			100	75	66	-50	-33	-25		50				70		50				99	50	50		33	50	99	2				50	50	50	5	114	170	107	173	35	89	138	35	89	93				110	135	70	105	70	110	135	60	120	100				116	142	70	90	70	110	135	60	120	100																																														Act 5 H2H C	Act 5 Champ C	Act 5 Unique C					Act 5 (N) H2H C	Act 5 (N) Champ C	Act 5 (N) Unique C			Act 5 (N) Champ C Desecrated	Act 5 (N) Unique C Desecrated	Act 5 (H) H2H C	Act 5 (H) Champ C	Act 5 (H) Unique C			Act 5 (H) Champ C Desecrated	Act 5 (H) Unique C Desecrated							0
siegebeast1	441	siegebeast1	siegebeast2	0	Siege Beast	siegebeast1	speed_fast_monprop	siegebeast	SiegeBeast		ox	1							imp1		1		3	4	2	2		3	7	1	37	59	81	siegebeast	siegebeast	10	15	14	13				25	25	25	50	60	65	1	2	3	15	15	15	1	2	3	50	50	50	100	100	100													1	1												1	1													Siege Beast Stomp	A2	1	Charge	seq_siegebeastcharge	1																			100	85	75	-50	-40	-33													50		99	33	50		2				50	50	50	5	379	379	88	287	92	122	251							612	714	90	260	154	242	187							718	838	90	137	216	339	187																																																	Act 5 H2H C	Act 5 Champ C	Act 5 Unique C					Act 5 (N) H2H C	Act 5 (N) Champ C	Act 5 (N) Unique C			Act 5 (N) Champ C Desecrated	Act 5 (N) Unique C Desecrated	Act 5 (H) H2H A	Act 5 (H) Champ A	Act 5 (H) Unique A			Act 5 (H) Champ A Desecrated	Act 5 (H) Unique A Desecrated							0
siegebeast2	442	siegebeast1	siegebeast3	1	CrushBiest	siegebeast2	speed_fast_monprop	siegebeast	SiegeBeast		ox	1							imp2		1		3	4	2	2		3	8	1	38	60	81	siegebeast	siegebeast	10	15	14	13				25	25	25	50	65	70	1	2	4	15	15	15	1	2	4	50	50	50	100	100	100													1	1												1	1													Siege Beast Stomp	A2	2	Charge	seq_siegebeastcharge	2																			100	85	75	-50	-40	-33													50		99	33	50		2				50	50	50	5	379	379	88	295	88	121	251							612	714	90	260	154	242	187							718	838	90	137	216	339	187																																																	Act 5 H2H C	Act 5 Champ C	Act 5 Unique C					Act 5 (N) H2H C	Act 5 (N) Champ C	Act 5 (N) Unique C			Act 5 (N) Champ C Desecrated	Act 5 (N) Unique C Desecrated	Act 5 (H) H2H B	Act 5 (H) Champ B	Act 5 (H) Unique B			Act 5 (H) Champ B Desecrated	Act 5 (H) Unique B Desecrated							0
siegebeast3	443	siegebeast1	siegebeast4	2	BloodBringer	siegebeast3	speed_fast_monprop	siegebeast	SiegeBeast		ox	1							imp3		1		3	4	2	2		4	9	1	38	60	81	siegebeast	siegebeast	10	15	14	13				25	25	25	50	70	75	1	3	4	15	15	15	1	2	4	50	50	50	100	100	100													1	1												1	1													Siege Beast Stomp	A2	3	Charge	seq_siegebeastcharge	3																			100	85	75	-50	-40	-33													50		75	33	99		2				50	50	50	5	379	379	88	295	88	121	251							612	714	90	260	154	242	187							718	838	90	137	216	339	187																																																	Act 5 H2H C	Act 5 Champ C	Act 5 Unique C					Act 5 (N) H2H C	Act 5 (N) Champ C	Act 5 (N) Unique C			Act 5 (N) Champ C Desecrated	Act 5 (N) Unique C Desecrated	Act 5 (H) H2H B	Act 5 (H) Champ B	Act 5 (H) Unique B			Act 5 (H) Champ B Desecrated	Act 5 (H) Unique B Desecrated							0
siegebeast4	444	siegebeast1	siegebeast5	3	GoreBearer	siegebeast4	speed_fast_monprop	siegebeast	SiegeBeast		ox	1							imp4		1		3	4	2	2		5	10	1	38	63	84	siegebeast	siegebeast	10	15	14	13				25	25	25	50	75	80	1	3	5	15	15	15	1	3	4	50	50	50	100	100	100													1	1												1	1													Siege Beast Stomp	A2	4	Charge	seq_siegebeastcharge	5																			100	85	75	-50	-40	-33													50		75	33	99		2				50	50	50	5	379	379	88	295	88	121	251							360	420	90	260	140	220	170							378	441	90	137	140	220	170																																																	Act 5 H2H C	Act 5 Champ C	Act 5 Unique C					Act 5 (N) H2H C	Act 5 (N) Champ C	Act 5 (N) Unique C			Act 5 (N) Champ C Desecrated	Act 5 (N) Unique C Desecrated	Act 5 (H) H2H C	Act 5 (H) Champ C	Act 5 (H) Unique C			Act 5 (H) Champ C Desecrated	Act 5 (H) Unique C Desecrated							0
siegebeast5	445	siegebeast1		4	DeamonSteed	siegebeast5	speed_fast_monprop	siegebeast	SiegeBeast		ox	1							imp5		1		3	4	2	2		6	11	1	38	64	85	siegebeast	siegebeast	10	15	14	13				25	25	25	50	80	85	1	3	5	15	15	15	1	3	5	50	50	50	100	100	100													1	1												1	1													Siege Beast Stomp	A2	5	Charge	seq_siegebeastcharge	7																			100	85	75	-50	-40	-33													50		75	33	99		2				50	50	50	5	379	379	88	295	88	121	251							360	420	90	260	140	220	170							378	441	90	137	140	220	170																																																	Act 5 H2H C	Act 5 Champ C	Act 5 Unique C					Act 5 (N) H2H C	Act 5 (N) Champ C	Act 5 (N) Unique C			Act 5 (N) Champ C Desecrated	Act 5 (N) Unique C Desecrated	Act 5 (H) H2H C	Act 5 (H) Champ C	Act 5 (H) Unique C			Act 5 (H) Champ C Desecrated	Act 5 (H) Unique C Desecrated							0
