index	*ID	set	item	*ItemName	rarity	lvl	lvl req	chrtransform	invtransform	invfile	flippyfile	dropsound	dropsfxframe	usesound	cost mult	cost add	add func	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	aprop1a	apar1a	amin1a	amax1a	aprop1b	apar1b	amin1b	amax1b	aprop2a	apar2a	amin2a	amax2a	aprop2b	apar2b	amin2b	amax2b	aprop3a	apar3a	amin3a	amax3a	aprop3b	apar3b	amin3b	amax3b	aprop4a	apar4a	amin4a	amax4a	aprop4b	apar4b	amin4b	amax4b	aprop5a	apar5a	amin5a	amax5a	aprop5b	apar5b	amin5b	amax5b	diablocloneweight	*eol
Darkmage's Celestial Fury	242	Darkmage's Astral Projection	dre	E-Sky Spirit	2	70	90								5	5000	2	ac%		150	180	all-stats		40	40	dru		2	3	balance3		15	15	cast3		25	35	ravenhits		2	2	ravendmg		1	1									dmg-to-mana		15	15					oskill	Inner Sight	1	1					ravenhits		2	2					ac%		75	75														0
Cryptic Claws	243	Phrozen Heart's Mysticism	7wb	E-Wrist Sword	2	70	90	cred	cred						5	5000	2	dmg%		370	400	dmg-norm		30	50	lifesteal		8	12	att/lvl	6			ass		2	3	skilltab	19	2	3	swing3		20	20	charge-noconsume		50	50	oskill_hide	393	1	1	hp%		5	5					reduce-ac		25	25					mana		80	80																						0
Way of the Shadow	244	Phrozen Heart's Mysticism	ung	E-Diamond Mail	2	70	88	lgry	lgry						5	5000	2	ac%		130	160	balance3		20	30	gethit-skill	Frost Nova	15	6	allskills		1	1	heal-kill		12	14	ignore-ac		1	1													deadly		10	10					crush		15	15					ac%		50	50					aura	Redemption	8	8														0
Dawns Mist	245	Phrozen Heart's Mysticism	uvg	E-Vampirebone Gloves	2	70	82	lgry	lgry						5	5000	2	ac/lvl	12			mana		60	80	res-all		15	25	swing1		20	30	regen-mana		25	25	openwounds		25	25													mag%		25	25					gold%		50	50					mana-kill		5	5																						0
Featherfoot	246	Phrozen Heart's Mysticism	ulb	E-Wyrmhide Boots	2	70	87	lgry	lgry						5	5000	2	ac		80	120	kick/lvl	10			move3		40	40	manasteal		4	6	ass		2	3	charge-noconsume		25	25													mag%		25	25					move3		20	20					ac%		100	100					charge-noconsume		25	25														0
Winter's Discord	247	Phrozen Heart's Mysticism	uvc	E-Vampirefang Belt	2	70	80	lgry	lgry						5	5000	2	red-dmg%		15	15	res-pois		30	40	res-pois-len		66	66	all-stats		20	20	nofreeze		1	1	dmg-to-mana		12	12													gold%		50	50					oskill	Dodge	1	1					healperhit		8	8																						0
Accelerating Power	248	Chaos Energy	7b8	E-Winged Axe	2	70	90	cred	cred						5	5000	2	nec		2	3	swing2		35	35	dmg%		320	350	lifesteal		8	12	rep-quant	100			pierce		50	50	att		50	50	oskill_hide	393	1	1					healperhit		15	15					dmg-norm		30	60					deadly		25	25					aura	Fanaticism	10	10														0
Guiding Focus	249	Chaos Energy	ukp	E-Hydraskull	2	70	85	dred	dred	invbhmu					5	5000	2	ac%		70	100	cast3		20	30	mana-kill		8	8	res-all		15	25	red-dmg%		12	16	pierce		33	33	gethit-skill	Bone Armor	8	30									mag%		25	25					mana		50	50					vit		15	15					ac%		60	60														0
Chaotic Shield	250	Chaos Energy	nef	E-Bloodlord Skull	2	70	82	dred	dred						5	5000	2	ac%		50	90	block		45	45	block2		35	35	nec		2	3	all-stats		20	20	cast3		35	35	extra_bonespears		2	2	oskill_hide	393	1	1					enr		25	25					extra-pois		20	20	extra-fire		20	20	ac%		75	75					pierce-pois		10	10	pierce-fire		10	10										0
Treads of Energy	251	Chaos Energy	uvb	E-Scarabshell Boots	2	70	80	blac	blac						5	5000	2	ac		60	80	move3		40	40	manasteal		5	7	hp		50	70	att/lvl	3			ignore-ac		1	1	skilltab	6	2	3									mag%		25	25					gold%/lvl	8							dex		15	15																						0
Band of Mysticism	252	Chaos Energy	urs	E-Great Hauberk	2	70	88								5	5000	2	ac%		110	135	balance3		35	45	allskills		1	1	res-all		20	30	hp%		15	15	mana%		30	30	nofreeze		1	1									move3		30	30					reduce-ac		33	33					heal-kill		18	18					ac%		40	40														0
Chiad's Lances	253	Aiel Shieldmaiden	amf	E-Matriarchal Javelin	2	70	90								5	5000	2	dmg%		150	180	dmg-ltng		1	250	ama		2	3	skilltab	1	2	3	swing2		20	20	heal-kill		12	12	pierce		40	40	rep-quant	100			oskill_hide	393	1	1	move3		20	20					reduce-ac		25	25					dmg-norm		20	40					hit-skill	Fist of the Heavens	8	10														0
Chiad's Wall	254	Aiel Shieldmaiden	uit	E-Monarch	2	70	88	whit	whit	invtowu					5	5000	2	ac%		120	150	block		35	35	block3		30	30	ama		2	3	res-all		20	30	balance3		30	30	oskill_hide	393	1	1																	dmg-to-mana		15	15					ac%		50	50					aura	Holy Shock	8	8														0
Chiad's Heartbane	255	Aiel Shieldmaiden	ucl	E-Loricated Mail	2	70	83	whit	whit						5	5000	2	ac%		100	130	dex		35	35	allskills		1	1	red-dmg%		8	8	att/lvl	4			dmg%		25	25													gold%		50	50													move3		30	30					ac%		75	75														0
Chiad's Halo	256	Aiel Shieldmaiden	ulm	E-Armet	2	70	80	bwht	bwht	invfhlu					5	5000	2	swing2		20	20	lifesteal		8	12	manasteal		6	8	gold%		50	50	res-ltng		15	25	ignore-ac		1	1													mag%		50	50													att%		25	25																						0
Chiad's Valor	257	Aiel Shieldmaiden	ulc	E-Spiderweb Sash	2	70	86								5	5000	2	ac/lvl	12			all-stats		20	20	regen-mana		25	25	mana		60	80	cast3		20	30	nofreeze		1	1													mana-kill		5	5					gethit-skill	Mind Blast	10	1																														0
Myhrginoc's Headhunter	258	Myhrginoc's Warbreeder	7ga	Champion Axe	7	60	80	lred	lred						5	5000	2	dmg%		280	320	dmg/lvl	18			swing2		20	20	knock		1	1	noheal		1	1	oskill_hide	393	1	1																																																						0
Myhrginoc's Black Rain	259	Myhrginoc's Warbreeder	uul	Shadow Plate	7	60	77	blac	blac						5	5000	2	ac%		170	200	red-dmg%		15	25	allskills		1	1	res-all		20	30	sock		2	2																																																										0
Myhrginoc's Crimson Crusader	260	Myhrginoc's Warbreeder	ulm	Armet	7	60	70	cred	cred						5	5000	2	ac/lvl	16			hp%		10	10	mana%		10	10	gethit-skill	War Cry	12	4	bloody		1	1																																																										0
Myhrginoc's Deathmonger	261	Myhrginoc's Warbreeder	uhg	Ogre Gauntlets	7	60	79	dred	dred						5	5000	2	ac%		100	130	swing1		15	15	oskill	Melee Mastery	10	10	dmg%		30	40																					crush		22	22					deadly		16	16																														0
Sin and Greed	262	Nefarious Ways	7s8	Thresher	7	60	80	dgrn	dgrn						5	5000	2	dmg%		400	500	ease		20	20	swing3		40	40	hit-skill	Dim Vision	15	15	oskill_hide	393	1	1																	mag%/lvl	16							gold%/lvl	32																																0
wicked Impulse	263	Nefarious Ways	ult	Hellforged Plate	7	60	75	cblu	cblu						5	5000	2	ac%		125	175	balance3		40	40	dmg%		100	160	swing3		30	30																																																														0
Evil Reputation	264	Nefarious Ways	utb	Mirrored Boots	7	60	76	blac	blac						5	5000	2	ac		200	250	move3		50	50	lifesteal		7	7	dex		15	25																													mag%		30	30																														0
Noxious Whispers	265	Nefarious Ways	usk	Demonhead	7	60	70								5	5000	2	hp		150	200	mana		75	100	allskills		1	2	heal-kill		15	25	oskill_hide	393	1	1																	mana-kill		7	7																																						0
Eternal Sleep	266	Kraj's Memorial	amu	Amulet	2	60	80								5	5000	2	allskills		2	2	rip		1	1	hp%		10	10	mana%		10	10																					res-all		18	18					half-freeze		1	1																														0
Calming Peace	267	Kraj's Memorial	uow	Aegis	7	60	83								5	5000	2	ac%		140	160	ac/lvl	16			ac		125	150	red-dmg%		25	35	oskill_hide	393	1	1																	block		35	35					balance2		25	25					aura	109	4	4																						0
Silk Shroud	268	Kraj's Memorial	uld	Kraken Shell	7	60	79								5	5000	2	ac%		100	130	balance3		25	25	res-fire		25	50	res-ltng		25	50																													hp		70	70																														0
Temple Guardian	269	Kraj's Memorial	7fl	Scourge	7	60	77								5	5000	2	dmg%		220	250	dmg-min		75	75	att%		75	75	oskill	zeal	8	8	oskill_hide	393	1	1																	swing2		25	25					heal-kill		18	18					mana-kill		3	3																						0
Sundered Heart	270	The Darkest Weaves	uth	Lacquered Plate	7	60	76	dred	dred						5	5000	2	ac%		170	200	sock		4	4																													balance3		50	50																																						0
Soulreaver	271	The Darkest Weaves	7cr	Phase Blade	7	60	77	dred	dred						5	5000	2	dmg%		220	300	sock		6	6	oskill_hide	393	1	1																									dmg/lvl	8																																								0
Throws of Hatred	272	The Darkest Weaves	ush	Troll Nest	7	60	78	oran	oran						5	5000	2	ac%		170	210	block		30	50	sock		3	3	oskill_hide	393	1	1																					block3		50	50																																						0
Blood Raven's Pain	273	Blood Raven's Despair	uh9	Bone Visage	7	60	73	dgld	dgld						5	5000	2	ac		160	220	hp		80	100	mana		75	100	dmg-to-mana		15	15																					all-stats		10	10																																						0
Blood Raven's Curse	274	Blood Raven's Despair	utu	Wire Fleece	7	60	77	lgry	lgry						5	5000	2	ac		675	900	balance3		25	25	str		20	30	lifesteal		9	9																					manasteal		6	6																																						0
Blood Raven's Redemption	275	Blood Raven's Despair	6lb	Shadow Bow	7	60	74	dblu	dblu						5	5000	2	dmg%		200	300	dmg-min		35	70	dmg-max		100	150	oskill	Ice Arrow	10	12	aura	113	5	5	oskill_hide	393	1	1													oskill	Immolation Arrow	10	10																																						0
Char's Grimace of Death	276	Narrow Path Between Light and Darkness	xh9	Grim Helm	7	35	62								5	5000	2	light		-2	-2	str		10	10	dex		10	10	ac%		113	113																					swing1		15	15					gethit-skill	Frost Nova	25	1																														0
Char's Annulus of Obscurity	277	Narrow Path Between Light and Darkness	rin	Ring	3	40	51								5	5000	2	light		-1	-1	pal		1	1	oskill	sanctuary	12	15																									mana		45	45					red-mag		10	10					regen-mana		10	10																						0
Char's Blessed Reflection	278	Narrow Path Between Light and Darkness	rin	Ring	3	40	51								5	5000	2	light		1	1	nec		1	1	oskill	decrepify	8	12																									hp		45	45					red-dmg		10	10																														0
Char's Hand of Blessed Light	279	Narrow Path Between Light and Darkness	7sc	Mighty Scepter	7	60	67								5	5000	2	sock		2	2	dmg%		75	110	cast1		15	15	allskills		1	1	skilltab	10	1	1	oskill_hide	393	1	1													dmg-ltng		1	50					oskill	static field	13	16					res-fire		15	15																						0
Kingpin's Wrap	280	Treasure Hunter	ztb	Battle Belt	7	35	25	lblu	lblu						5	5000	2	mag%		30	30	light		2	2	ac		25	35	swing1		10	10	ac%		40	60	gold%		50	80																																																						0
Kingpin's Greaves	281	Treasure Hunter	xtb	Battle Boots	7	35	42								5	5000	2	vit		10	10	str		10	10	mag%		30	50	dur		30	30	move2		25	25	ac%		150	190	dmg-norm		15	25	thorns		5	10																																														0
Kingpin's Ire	282	Treasure Hunter	xpl	Russet Armor	7	35	42								5	5000	2	allskills		1	1	mag%/lvl	10			ac%		160	200	dur		60	60	red-mag		10	10	rep-dur	20															vit		10	10					enr		10	10																														0
Kingpin's Signet	283	Treasure Hunter	rin	Ring	4	7	7	dpur							5	5000	2	red-mag		3	3	thorns		3	7	att		50	80	mag%		10	15																																					mag%		15	15					hp		44	44														0
Kingpin's Crown	284	Treasure Hunter	uap	Shako	7	60	61	cgrn	cgrn						5	5000	2	all-stats		2	2	mana/lvl	12			hp/lvl	12			allskills		2	2	mag%		50	50	red-dmg%		10	10																																																						0
Kingpin's Blade	285	Treasure Hunter	9fc	Tulwar	7	35	35	cred	cred						5	5000	2	sock		2	2	gold%/lvl	20			mag%/lvl	8			mana		15	15	dmg%		60	120	dex		5	15	oskill_hide	393	1	1																																									dmg-norm		50	120						0
Char's Carapace	286	Narrow Path Between Light and Darkness	uui	Dusk Shroud	7	60	65								5	5000	2	ac%		65	110	sock		1	1	res-all		15	25	red-dmg%		10	15																													allskills		1	1																														0
Wiseman's Cap	287	Yohann's Savant	xhl	X-Basinet	2	25	49	oran	oran						5	5000	2	ac%		100	100	allskills		1	1	mana-kill		4	6	res-ltng		30	40	res-fire		30	40	all-stats		10	10	red-dmg%		8	8									mag%		25	25					hp%		10	10					ac%		75	75																						0
Sage's Leather	288	Yohann's Savant	xla	X-Demonhide Armor	2	25	55	oran	oran						5	5000	2	ac%		80	110	str		25	25	res-cold		30	40	hp		80	80	balance3		20	30	oskill	teleport	1	1	move3		20	20									mana		50	50					nofreeze		1	1					ac%		50	50																						0
Gloves of Knowledge	289	Yohann's Savant	xmg	X-Heavy Bracers	2	25	42	oran	oran						5	5000	2	ac/lvl	12			cast2		20	30	res-pois		50	50	res-pois-max		5	5	res-pois-len		50	70	regen		6	10													gold%		50	50					block3		20	20					res-pois		30	30																						0
Arcane Battleshard	290	Yohann's Savant	obf	E-Dimensional Shard	3	25	63	oran	oran						5	5000	2	sor		2	3	cast2		35	35	mana/lvl	12			regen-mana		30	60	extra-elem		10	20	dmg-to-mana		15	15	oskill_hide	393	1	1									sor		1	1					oskill	Iron Skin	8	8					pierce-elem		15	15																						0
Unholy Desires	291	Zhoulomcrist's Dread	xap	War Hat	7	25	31	dred	dred						5	5000	2	mana		35	50	cast1		15	15	dmg-to-mana		12	15																																	dmg-cold	250	25	35					oskill	warmth	1	1					oskill	warmth	1	1														0
Darkest Wishes	292	Zhoulomcrist's Dread	72a	Ettin Axe	7	60	70	blac	blac						5	5000	2	dmg%		220	260	swing2		20	20	knock		1	1	oskill	zeal	8	8	charged	Clay Golem	65	15	oskill_hide	393	1	1																													kill-skill	life tap	20	15																						0
Shadowed Plate	293	Zhoulomcrist's Dread	utp	Archon Plate	7	60	74	lgry	lgry						5	5000	2	balance2		30	30	addxp		1	5	allskills		1	1	ac%		175	195																													red-dmg		20	20					red-mag		25	25																						0
Draven Coil	294	Zhoulomcrist's Dread	rin	Ring	3	40	50								5	5000	2	hp		35	50	cast1		10	10	ac		80	120	att%		10	20																																					freeze		2	2																						0
Tortured Soul Gauntlets	295	The Warlord of Blood	hgl	Gauntlets	7	28	29	dred	dred						5	5000	2	swing2		20	20	dmg%		30	50																													deadly		15	15					crush		15	15					att%		20	20					red-dmg%		10	10					ac		250	250						0
Hell's Torment Greaves	296	The Warlord of Blood	hbt	Greaves	7	28	31	dred	dred						5	5000	2	move2		30	30	hit-skill	Life Tap	18	1																													res-all		10	10					dmg-norm		10	20					res-mag		10	10					thorns/lvl	12							ac		313	313						0
Bloody Visage Helm	297	The Warlord of Blood	xhm	War Belt	7	45	45	lred	lred						5	5000	2	hp		70	100	bloody		1	1	mana		33	45	knock		2	2	ac%		120	170																									res-ltng		33	33					pierce-ltng		15	15													dmg-ltng		25	200						0
Vengeance Unleashed	298	The Warlord of Blood	zhb	Winged Helm	7	45	47	cred	cred						5	5000	2	sock		2	2	ac%		180	200	hp		50	75	red-dmg		22	40	red-mag		20	40																									res-fire		33	33					pierce-fire		15	15													dmg-fire		100	150						0
Elysian Fields	299	The Warlord of Blood	upk	Blade Barrier	7	60	68	lred	lred						5	5000	2	block		20	40	block3		40	40	red-dmg%		15	20	res-all		35	50	ac%		160	200	pierce-cold		15	15	dmg-cold	150	100	150	oskill_hide	393	1	1																																														0
Death and Decay	300	The Warlord of Blood	utp	Archon Plate	7	60	77	cred	cred						5	5000	2	ac%		180	220	hp		75	100	mana		35	50	dex		15	20	str		15	25																																																	noheal		1	1	allskills		2	2		0
Dying Curses	301	Darque Necromancy	zlb	X-Demonhide Sash	1	45	70								5	5000	2	ac		100	100	cast3		15	25	regen-mana		50	70	mana		50	50	regen		8	8	skilltab	6	2	3													move3		20	20					res-all		15	15													ac%		200	200														0
Lich's Rites	302	Darque Necromancy	ned	E-Overseer Skull	2	45	77								5	5000	2	ac%		130	160	block3		30	30	block		40	40	cast3		35	35	nec		2	3	dmg-to-mana		12	12	extra_bonespears		2	2	oskill_hide	393	1	1					enr		25	25					pierce-fire		5	5	pierce-pois		5	5	extra-fire		20	20	extra-pois		30	30	ac%		75	75														0
Twilight of Evil	303	Darque Necromancy	7bk	E-Winged Knife	2	45	80	blac	blac						5	5000	2	dmg%		260	300	swing3		40	40	nec		1	2	res-all		20	30	att%/lvl	2			pierce		40	40	rep-quant	100			oskill_hide	393	1	1					pois-min		40	40					att		50	50					dmg-norm		30	50					aura	Defiance	9	9														0
Dark Rituals	304	Darque Necromancy	urs	E-Great Hauberk	1	45	74	dred	dred						5	5000	2	ac%		120	140	balance3		30	30	allskills		1	1	dex		30	40	mana%		25	25	heal-kill		12	16	gethit-skill	Blade Fury	15	30																	mana-kill		8	8					hp%		5	5					ac%		50	50														0
Legacy in Blood	305	Darque Necromancy	xlg	X-Demonhide Gloves	1	45	66								5	5000	2	swing2		20	30	mag%		50	50	lifesteal		8	12	att		50	50	red-dmg%		12	12	pierce		25	25	ignore-ac		1	1									manasteal		6	6					gold%		50	50					reduce-ac		33	33																						0
Andariel's Claw	306	Marhawkman's Disguise	uvg	Vampirebone Gloves	7	60	69								5	5000	2	ac%		90	130	swing1		15	15	cast1		15	15	res-pois		60	80	res-pois-len		60	90	mana		40	70																																																						0
Andariel's Hooves	307	Marhawkman's Disguise	umb	Boneweave Boots	7	60	72								5	5000	2	ac%		80	120	move2		25	25	dex		20	30	res-all		10	20	dmg-pois	300	1024	1024																																																										0
Andariel's Mask	308	Marhawkman's Disguise	xsk	Death Mask	7	30	36								5	5000	2	ac		75	100	heal-kill		15	20	mana-kill		3	6	enr		20	30	vit		20	30																																																										0
Andariel's Breastbone	309	Marhawkman's Disguise	ula	Scarab Husk	7	60	60	cgrn	cgrn						5	5000	2	ac%		120	150	noheal		1	1	red-dmg		20	30	red-mag		20	30	extra-pois		25	25	pierce-pois		25	25																													addxp		4	4																						0
Aragorn's Contempt	310	Aragorn's Scorn	xui	Ghost Armor	7	30	33	oran	oran						5	5000	2	ac%		100	120	res-fire		25	35	red-dmg		15	25	res-mag		10	10																																																														0
Aragorn's Derision	311	Aragorn's Scorn	9wa	Naga	7	30	40								5	5000	2	dmg%		120	200	dmg-fire		150	250	pierce-fire		15	20	oskill_hide	393	1	1																					heal-kill		8	12													dmg-norm		45	135																						0
Aragorn's Indignation	312	Aragorn's Scorn	uml	Luna	7	60	62	dgrn	dgrn						5	5000	2	ac/lvl	16			block		20	30	block2		20	20	noheal		1	1	res-cold		25	35	oskill_hide	393	1	1																																																						0
Aragorn's Disdain	313	Aragorn's Scorn	xhb	War Boots	7	30	43	oran	oran						5	5000	2	ac%		100	125	move2		20	20	kick		8	15	manasteal		3	6																													dex		25	25																														0
Winter's Embrace	314	Bogrot's Magic	xea	Serpentskin	7	30	34	dblu	dblu						5	5000	2	allskills		1	1	nofreeze		1	1	ac		250	350	pierce-cold		10	20																																																														0
Baptism by Fire	315	Bogrot's Magic	9ma	Flanged Mace	7	30	31	dred	dred						5	5000	2	allskills		2	2	cast2		20	20	mana		35	50	aura	102	3	5	oskill_hide	393	1	1																									regen-mana		50	50																														0
Between Fire and Ice	316	Bogrot's Magic	urg	Hyperion	7	48	48								5	5000	2	allskills		1	1	mag%		40	75	block3		35	35	balance3		30	30	str		15	25	oskill_hide	393	1	1																																																						0
Call of Gylandra	317	Cedric's Jinx	xla	Demonhide Armor	7	30	36								5	5000	2	ac%		120	200	red-dmg%		15	25	res-all		15	25	addxp		1	2																													ac/lvl	40																																0
Return to Hydrakal	318	Cedric's Jinx	7wh	Legendary Mallet	7	60	75								5	5000	2	dmg%		175	225	swing3		60	60	sock		2	2	oskill_hide	393	1	1																					manasteal		6	6					lifesteal		6	6																														0
Neprida's Kiss	319	Cedric's Jinx	xrg	Scutum	7	30	43								5	5000	2	ac/lvl	13			block		10	20	ignore-ac		1	1	dmg%		35	50	oskill_hide	393	1	1																																																										0
Warder's Vest	320	Dragon Reborn	xtu	Trellised Armor	7	30	41								5	5000	2	mag%		25	30	gold%		75	75	ac%		160	200																									heal-kill		10	10													mana-kill		3	3																						0
Heron-Branded Blade	321	Dragon Reborn	9cr	Demensional Blade	7	30	44								5	5000	2	dmg-min		35	50	dmg-max		100	140	hit-skill	Weaken	4	20	dmg-demon		200	200	abs-fire		10	15	abs-cold		10	15	oskill_hide	393	1	1																																																		0
Ter'Angreal Ring	322	Dragon Reborn	rin	Ring	3	60	67								5	5000	2	swing1		5	5	cast1		10	10	all-stats		8	15	allskills		1	1																																													hp		40	40														0
Ser'Angreal Necklace	323	Dragon Reborn	amu	Amulet	3	60	67								5	5000	2	balance1		10	10	block		5	10	addxp		4	7																																																	gethit-skill	Decrepify	35	1					allskills		1	1						0
Taint of Saidin	324	Dragon Reborn	uuc	Heater	7	60	67								5	5000	2	ac%		130	150	regen		5	8	block		10	25	block2		20	20	balance2		20	20	oskill_hide	393	1	1																																																						0
Aviendha's Gift	325	Dragon Reborn	vbt	Heavy Boots	7	10	21	dgld	dgld						5	5000	2	ac		25	35	dex		10	10																													mag%		25	25					move2		30	30					res-all		15	15					mana/lvl	5							hp/lvl	8								0
Heroes Stand	326	Soldier's Cairn	xng	Linked Mail	7	30	35		whit						5	5000	2	ac%		130	170	dmg%		50	75	balance3		30	30																																																																		0
Warrior's Heroism	327	Soldier's Cairn	9cm	Dacian Falx	7	30	55	blac	dgry						5	5000	2	dmg%		200	300	swing2		20	20	sock		1	4	oskill_hide	393	1	1																					lifesteal		8	8	oskill	Melee Mastery	3	3	dmg-norm		100	150																														0
Martyr's Principle	328	Soldier's Cairn	utg	Crasader Gauntlets	7	60	73	lyel	lyel						5	5000	2	ac		100	160	swing3		25	25	deadly		7	15	addxp		1	2																					allskills		1	1																																						0
Judicial Decree	329	Gweibret's Rule	utu	E-Wire Fleece	2	45	72	dblu	dblu	invxtuu					5	5000	2	ac%		130	160	balance3		20	30	mana/lvl	8			dmg-to-mana		20	30	mana-kill		4	4	cast3		25	35													gold%		50	50					nofreeze		1	1													ac%		50	50														0
Regime of Regulation	330	Gweibret's Rule	7gl	E-Ghost Glaive	2	45	80	lgry	lgry						5	5000	2	dmg%/lvl	20			swing3		30	30	att/lvl	6			bar		1	2	lifesteal		9	13	manasteal		5	5	hp/lvl	8			oskill_hide	393	1	1					dmg-norm		20	30					swing2		20	20					dmg		40	40					aura	Holy Freeze	7	7														0
King's Prescript	331	Gweibret's Rule	xlb	X-Demonhide Boots	1	45	69	dblu	dblu						5	5000	2	ac		120	140	res-all		20	30	red-dmg%		12	16	swing2		20	20	dmg%		50	50	move3		30	30													mag%		25	25					oskill	Avoid	1	1													ac%		75	75														0
Born Supremacy	332	Gweibret's Rule	umc	E-Mithril Coil	2	45	63	dblu	dblu						5	5000	2	red-dmg		8	12	red-mag		8	12	heal-kill		12	12	all-stats		15	15	mag%		25	25	ignore-ac		1	1													move3		20	20													reduce-ac		25	25					deadly/lvl	2																0
Dominion's Thesis	333	Gweibret's Rule	ba7	X-Lion Helm	1	45	75	dgry	dgry						5	5000	2	ac%		75	75	str		25	35	bar		2	3	skilltab	12	2	3	regen		8	10	crush		15	15													att		50	50					deadly		10	10													ac%		50	50														0
Astral Body	334	Haunted Asylum	xhn	Mesh Armor	7	30	44	cblu	cblu						5	5000	2	ac%		175	225	swing1		15	15	balance1		15	15	block1		15	15	fade		1	1																																	ac		200	200					mag%		50	50														0
Apparition of Malice	335	Haunted Asylum	9ls	Rune Sword	7	30	42								5	5000	2	dmg%		200	250	ac		225	250	extra-cold		10	15	pierce-cold		15	20	oskill_hide	393	1	1																																	dmg-norm		25	75																						0
Phantasm of Horror	336	Haunted Asylum	xsh	Grim Shield	7	30	47		lgry						5	5000	2	ac%		75	100	block		40	40	block1		15	15	dmg-demon		100	100	oskill_hide	393	1	1																																									res-all		25	25														0
Haunted Wisdom	337	Haunted Asylum	uhl	Giant Conch	7	60	65								5	5000	2	ac/lvl	14			ac%		75	100	allskills		1	1	cast3		30	30	regen-mana		75	75	mag%		20	50																																																						0
Revenant's Claw	338	Haunted Asylum	utg	Crusader Gauntlets	7	60	72								5	5000	2	ac%		180	220	skilltab	12	1	3	hp		30	50	lifesteal		5	5																																																														0
Alyssa's Essence	339	Alyssa's Archery	xpl	Russet Armor	7	30	47	lgrn	lgrn						5	5000	2	ac%		135	180	knock		3	3	manasteal		4	8	lifesteal		8	8																																																														0
Alyssa's Leafblighter	340	Alyssa's Archery	8l8	Long Siege Bow	7	30	44	whit	whit						5	5000	2	dmg%		180	220	swing2		20	20	sock		3	3	oskill_hide	393	1	1																					dmg/lvl	16							dmg-min		50	50																														0
Alyssa's Sandals	341	Alyssa's Archery	ulb	Wyrmhide Boots	7	60	60	lgrn	lgrn						5	5000	2	ac%		160	200	dmg-norm		5	10	dmg%		20	30	str		15	15																													move3		30	30																														0
Unholy Vows	342	Forbidden Lore	xlt	X-Templar Coat	3	15	38	dgld	dgld						5	5000	2	ac%		120	160	hp		75	100	regen		30	30	mana		40	60	regen-mana		100	150																	gold%		25	25					balance3		15	15					ac%		75	75																						0
Vampirebone Dagger	343	Forbidden Lore	9b8	X-Hurlbat	3	15	40	whit	whit						5	5000	2	dmg%		220	250	dmg-max		30	30	swing2		20	30	att		50	50	extra_bonespears		1	1	skilltab	6	1	2	lifesteal		5	7	oskill_hide	393	1	1					att%		25	25					dmg-pois/lvl	8			extra_bonespears		1	1	hit-skill	Corpse Explosion	10	23																						0
Head of Modius	344	Forbidden Lore	ne8	X-Sexton Trophy	3	15	31								5	5000	2	ac%		150	150	block		25	25	extra-pois		10	10	cast2		20	30	nec		1	2	oskill_hide	393	1	1													dex		25	25					block3		20	20					pierce-pois		10	10																						0
Death's Door	345	Forbidden Lore	zvb	X-Sharkskin Belt	3	15	34								5	5000	2	ac/lvl	16			allskills		1	1	dmg-to-mana		12	12	heal-kill		4	6	res-all		10	20																	mag%		25	25					half-freeze		1	1					deadly		15	15																						0
Hannibal's Shattered Plate	346	Hannibal's Demise	xld	Sharktooth Armor	7	30	48								5	5000	2	ac%		130	160	ac/lvl	24			red-dmg%		15	15	openwounds		35	50	pierce		50	50																																																										0
Hannibal's Final Flight	347	Hannibal's Demise	7bk	Winged Knife	7	60	62								5	5000	2	dmg%		200	300	swing2		20	20	slow		75	75	reduce-ac		20	30	nofreeze		1	1	rep-quant	100			oskill_hide	393	1	1									stack		100	100					dmg-norm		25	75																														0
Hannibal's Blurred Vision	348	Hannibal's Demise	xhl	Basinet	7	30	38								5	5000	2	ac%		170	200	all-stats		10	20	addxp		1	2	res-fire		25	35																													res-ltng		30	30																														0
Hannibal's Bending Knee	349	Hannibal's Demise	xtb	Battle Boots	7	30	45								5	5000	2	ac%		100	120	dex		15	15	gold%		300	300																									move2		20	20					att		100	100																														0
Shroud of Anger	350	Wrath of Vengeance	xth	Embossed Armor	7	30	50	lred	oran						5	5000	2	ac%		180	220	swing2		20	20	sock		2	2	hp		55	55																																													regen		8	8														0
Holy Fury	351	Wrath of Vengeance	7s7	Balrog Spear	7	60	64		oran						5	5000	2	dmg-norm		50	200	stack		200	200	dmg%		150	180	rep-quant	100			oskill_hide	393	1	1																	hit-skill	Chain Lightning	37	10					oskill	charged strike	6	6																														0
Harvest of Cruelty	352	Wrath of Vengeance	uvb	Scarabshell Boots	7	60	67		oran						5	5000	2	ac%		130	150	move2		25	25	mag%		15	25	heal-kill		15	25	gethit-skill	Teleport	5	1																																																										0
Guiding Force	353	Wrath of Vengeance	umg	Vambraces	7	60	71		oran						5	5000	2	cast2		20	20	mana/lvl	8			regen-mana		25	25																									oskill	frost nova	1	1					oskill	blizzard	1	1					oskill	frozen orb	1	1																						0
