skill	*Id	charclass	skilldesc	srvstfunc	srvdofunc	srvstopfunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	useServerMissilesOnRemoteClients	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auraevent4	auraeventfunc4	passivestate	passiveitype	passivereqweaponcount	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passivestat6	passivecalc6	passivestat7	passivecalc7	passivestat8	passivecalc8	passivestat9	passivecalc9	passivestat10	passivecalc10	passivestat11	passivecalc11	passivestat12	passivecalc12	passivestat13	passivecalc13	passivestat14	passivecalc14	summon	pettype	petmax	requirespettype	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltstopfunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	requiresweapon	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	KeepCursorStateOnKill	ContinueCastUnselected	ClearSelectedOnHold	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemUseRestrict	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	localdelay	globaldelay	leftskill	rightskill	repeat	alwayshit	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	periodicClearAura	finishing	prgchargestocast	prgchargesconsumed	passive	progressive	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	calc5	*calc5 desc	calc6	*calc6 desc	calc7	*calc7desc	calc8	*calc8desc	calc9	*calc9desc	calc10	*calc10desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	Param9	*Param9 Description	Param10	*Param10 Description2	Param11	*Param11 Description	Param12	*Param12 Description	Param13	*Param13Description	Param14	*Param14Description	Param15	*Param15Description	Param16	*Param16Description	Param17	*Param17Description	Param18	*Param18Description	Param19	*Param19Description	Param20	*Param20Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add	*eol
Dragon Claw	260	ass	dragon claw	25	46																																																																																												assassin_kick_1																																	1	0		h2h	3		h2h					h2h					SQ	A1	xx	16			1		1	1								1		1			1					1					6	25					Dragon Talon									1	1				1	1	8	2	0	1	1					1	0	1				ln12 + skill('Claw Mastery'.blvl)*par7	Damage %					0	% Damage Dealt as Elemental (Used only if there is an Etype)													50	Damage % baseline	15	Damage % per level									4	Damage synergy	1	Always Hit (0 = disabled | 1 = enabled only when Charges are consumed)																									1	40	25						8	128																																	4		50	1000	0
Charged Bolt Sentry	261	ass	charged bolt sentry		45																																														item_pierce_light_immunity	stat('item_pierce_light_immunity'.accr)	passive_ltng_pierce	stat('passive_ltng_pierce'.accr)	passive_ltng_mastery	stat('passive_ltng_mastery'.accr)																							chargeboltsentry	assassintrap	5 + stat('extra_traps'.accr)		S1	BoltSentry	lvl	Shock Field	skill('Shock Field'.blvl)	Lightning Sentry	skill('Lightning Sentry'.blvl)	Charged Bolt Sentry	skill('Charged Bolt Sentry'.blvl)			32			assassin_summon																																	1	0		none													S2	S2	S2				1	4															1										12	25					Shock Field									0	1				1	1	7	6	1	1	1											min(par3+(lvl/par5),10)	#bolts created, should match bolt sentry calc1 with proper par references					par1+(blvl/par6)	# of shots													5	# of shots (must match BoltSentry Param8)			5	# of Bolt Missiles created baseline (must match BoltSentry Param1)	1	# of Bolt Missiles created per par5 levels (must match BoltSentry Param2)	5	levels to gain another bolt	5	base levels to gain an additional shot			15	Damage synergy																									1								8															ltng	1	0	0	0	1	1	20	3	5	8	10	15	(skill('Shock Field'.blvl)+skill('Lightning Sentry'.blvl))*par8						3		50	1000	0
Wake of Fire Sentry	262	ass	wake of fire sentry		45																																														item_pierce_fire_immunity	stat('item_pierce_fire_immunity'.accr)	passive_fire_pierce	stat('passive_fire_pierce'.accr)	passive_fire_mastery	stat('passive_fire_mastery'.accr)																							wakeofdestruction	assassintrap	5 + stat('extra_traps'.accr)		S1	Wake Of Destruction Sentry	lvl	Fire Trauma	skill('Fire Trauma'.blvl)	Flameburst Sentry	skill('Flameburst Sentry'.blvl)	Wake of Fire Sentry	skill('Wake of Fire Sentry'.blvl)			32			assassin_summon																																	1	0		none													S2	S2	S2				1	4															1										12	25					Fire Trauma									0	1				1	1	7	6	1	1	1																	par1+(blvl/par6)	# of shots													5	# of shots (must match Wake of Destruction Sentry Param8)									5	base levels to gain an additional shot			15	Damage synergy																									1								8															fire	10	2	4	8	14	17	20	4	6	10	16	20	(skill('Fire Trauma'.blvl) + skill('Flameburst Sentry'.blvl)) * par8						3		50	1000	0
Weapon Block	263	ass	weapon block																																													weaponblock	h2h		passive_weaponblock	dm12	armorclass	ln34																																																																												1	0		rng			h2h					h2h					SC	SC	SC				1																										12	25					Claw Mastery									0	0					0	8	0	0	1	1								1																							1	Block % chance Min	65	Block % chance Max	50	defense baseline	10	defense per level																																	1								8																																		10		50	1000	0
Snowlash Sentry	264	ass	snowlash sentry		45																																														item_pierce_cold_immunity	stat('item_pierce_cold_immunity'.accr)	passive_cold_pierce	stat('passive_cold_pierce'.accr)	passive_cold_mastery	stat('passive_cold_mastery'.accr)																							snowlashsentry	assassintrap	5 + stat('extra_traps'.accr)		S1	SnowlashSentry	lvl	Ice Barrage	skill('Ice Barrage'.blvl)	Glacial Vortex Sentry	skill('Glacial Vortex Sentry'.blvl)	Snowlash Sentry	skill('Snowlash Sentry'.blvl)			32			assassin_summon																																	1	0		none													S2	S2	S2				1	4															1										12	25					Ice Barrage									0	1				1	1	7	6	1	1	1																	par1+(blvl/par6)	# of shots													5	# of shots (must match Snowlash Sentry Param8)	3	baseline bolts							5	base levels to gain an additional shot			15	Damage synergy																									1								8															cold	10	3	5	7	9	14	15	4	6	8	10	16	(skill('Ice Barrage'.blvl)+skill('Glacial Vortex Sentry'.blvl))*par8	50					2		50	1000	0
Cobra Strike	265	ass	cobra strike	23	34									2										progressive_steal		par3		progressive_steal		progressive_tohit	par4																																																																											cobrastrike1	assassin_chargeup_cobra_1							13	13	13														1	0		h2h			mele										A1	A1	A2				1		1	1								1		1			1										12	25					Tiger Strike									1	1				1	1	8	2	0	1	1									1		ln12	Lifesteal %																			40	Lifesteal % baseline	5	Lifesteal % per level	750	Duration	50	Attack Rating % per Charge																																	1	25	10						8	128																																	12		50	1000	0
Blade Fury	266	ass	blade fury		8													ri_bladefury	ri_bladefury	ri_bladefury			42371				par3																																																																																					17						ri_bladefury	ri_bladefury	ri_bladefury										1	8		rng			h2h	knif									A1	A1	xx																	1			1										18	25					Blade Sentinel									1	1				1	1	6	20	1	1	1											max(ln12/par4, par5)	# of blade missiles																			1	# of Blade Missiles Base	1	# of Blade Missiles Counter	12	Target Search Radius	8	Soft Points Per Additional Missile	2	Minimum Missile Count					10	Damage synergy																									1	25	15						8	96	5	1	2	4	5	5	10	3	5	6	7	7	(skill('Blade Sentinel'.blvl)+skill('Blade Shield'.blvl))*par8																				5		50	1000	0
Fade	267	ass	fade		18																			fade		ln56		fireresist	dm12	coldresist	dm12	lightresist	dm12	poisonresist	dm12	curse_resistance	dm34	damageresist	ln78												fade	2																																													assassin_fade																																	1	0		none													SC	SC	SC				1																1										18	25					Quickness			1						0	1				1	1	8	10	0	1	1																															5	Elemental Resistance % Min	50	Elemental Resistance % Max	5	Curse Length % Reduction Min	50	Curse Length % Reduction Max	3000	Duration baseline	300	Duration per level	1	Damage Resistance % baseline	1	Damage Resistance % per level																									1								8																																		1		50	1000	0
Shadow Warrior	268	ass	shadow warrior		49																			shadowwarrior				tohit	lvl*par2	skill_armor_percent	lvl*par3	strength	lvl*10	dexterity	lvl*10																item_pierce_cold_immunity	stat('item_pierce_cold_immunity'.accr)	item_pierce_fire_immunity	stat('item_pierce_fire_immunity'.accr)	item_pierce_light_immunity	stat('item_pierce_light_immunity'.accr)	item_pierce_poison_immunity	stat('item_pierce_poison_immunity'.accr)	item_pierce_damage_immunity	stat('item_pierce_damage_immunity'.accr)																			shadowwarrior	shadowwarrior	1		NU											42			assassin_summon																																	1	0		none													SC	SC	SC				1	4															1										18	25					Weapon Block							15		0	1				1	1	8	30	1	1	1																															15	HP % per level	40	Attack Rating % per level	12	Armor % per level			18	Magic Item Level baseline	2	Magic Item Level per level																													1								8																																				50	1000	0
Claws of Thunder	269	ass	claws of thunder	23	35		1		36	37			par1	4					clawsofthundernova	clawsofthunderbolt				progressive_lightning		par3		progressive_lightning		progressive_tohit	par4																																																																																				10	11			clawsofthundernova	clawsofthunderbolt										1	0		h2h	3		h2h										SQ	A1	xx	16			1			1								1		1			1										18	25					Fists of Fire									1	1				1	1	8	4	0	1	1									1		0	% Damage Dealt as Elemental																			4	Missiles created modifier for 3 Charges (used as 64/#=Total Charged Bolts created)			750	Duration	50	Attack Rating % per Charge	1	Freeze Length Divisor (Freeze Length = Cold Length / Freeze Length Divisor) (Used only if Etype = cold)					8	Damage synergy																									1	25	10						8	128														ltng	1	0	0	0	0	0	80	20	40	60	80	100	(skill('Royal Strike'.blvl)) * par8						4		50	1000	0
Dragon Tail	270	ass	dragon tail	27	50													dragontail missile									par3																																																																						assassin_kick_1														9	7						dragontail missile												1	0		h2h	4												KK	KK	A1				1			1								1		1			1										18	25					Dragon Claw									1	1				1	1	8	10	0		1					1	0	1				ln12	Damage %																			50	Damage % baseline	20	Damage % per level	6	Radius	-40	Attack Speed % Reduction							1	Always Hit (0 = disabled | 1 = enabled only when Charges are consumed)																									1	20	15					1	8															fire																			4		50	1000	0
Lightning Sentry	271	ass	lightning sentry		45																																														item_pierce_light_immunity	stat('item_pierce_light_immunity'.accr)	passive_ltng_pierce	stat('passive_ltng_pierce'.accr)	passive_ltng_mastery	stat('passive_ltng_mastery'.accr)																							lightningsentry	assassintrap	5 + stat('extra_traps'.accr)		S1	sentry lightning	lvl	Shock Field	skill('Shock Field'.blvl)	Charged Bolt Sentry	skill('Charged Bolt Sentry'.blvl)	Lightning Sentry	skill('Lightning Sentry'.blvl)			32			assassin_summon																																	1	0		none													S2	S2	S2				1	4															1										24	25					Charged Bolt Sentry									0	1				1	1	7	12	1	1	1																	par1+(blvl/par6)	# of shots													5	# of shots (must match sentry lightning Param8)									5	base levels to gain an additional shot			15	Damage synergy																									1								8															ltng	1	0	0	0	1	1	20	10	15	20	25	35	(skill('Shock Field'.blvl) + skill('Charged Bolt Sentry'.blvl))*par8						3		50	1000	0
Flameburst Sentry	272	ass	flameburst sentry		45																																														item_pierce_fire_immunity	stat('item_pierce_fire_immunity'.accr)	passive_fire_pierce	stat('passive_fire_pierce'.accr)	passive_fire_mastery	stat('passive_fire_mastery'.accr)																							flameburstsentry	assassintrap	5 + stat('extra_traps'.accr)		S1	FlameburstSentry	lvl	Fire Trauma	skill('Fire Trauma'.blvl)	Wake of Fire Sentry	skill('Wake of Fire Sentry'.blvl)	Flameburst Sentry	skill('Flameburst Sentry'.blvl)			32			assassin_summon																																	1	0		none													S2	S2	S2				1	4															1										24	25					Wake of Fire Sentry									0	1				1	1	7	12	1	1	1																	par1+(blvl/par6)	# of shots													5	# of shots (must match FlameburstSentry Param8)			40	Range (Duration of missile) baseline (must match FlameburstSentry Param3)	0	Range (Duration of missile) per level (must match FlameburstSentry Param4)			5	base levels to gain an additional shot			15	Damage synergy																									1								8															fire	10	2	3	5	8	10	20	3	4	6	9	11	(skill('Fire Trauma'.blvl) + skill('Wake of Fire Sentry'.blvl))*par8						3		50	1000	0
Glacial Vortex Sentry	273	ass	glacial vortex sentry		45																																														item_pierce_cold_immunity	stat('item_pierce_cold_immunity'.accr)	passive_cold_pierce	stat('passive_cold_pierce'.accr)	passive_cold_mastery	stat('passive_cold_mastery'.accr)																							glacialvortexsentry	assassintrap	5 + stat('extra_traps'.accr)		S1	GlacialVortexSentry	lvl	Ice Barrage	skill('Ice Barrage'.blvl)	Snowlash Sentry	skill('Snowlash Sentry'.blvl)	Glacial Vortex Sentry	skill('Glacial Vortex Sentry'.blvl)			32			assassin_summon																																	1	0		none													S2	S2	S2				1	4		1													1										24	25					Snowlash Sentry									0	1				1	1	7	12	1	1	1											6						par1+(blvl/par6)	# of shots													5	# of shots (must match GlacialVortexSentry Param8)			40	Range (Duration of missile) baseline (must match GlacialVortexSentry Param3)	0	Range (Duration of missile) per level (must match GlacialVortexSentry Param4)			5	base levels to gain an additional shot			15	Damage synergy																									1				9				8															cold	25	4	7	10	12	17	25	5	8	11	13	18	(skill('Ice Barrage'.blvl)+skill('Snowlash Sentry'.blvl))*par8	75					11		50	1000	0
Blades of Ice	274	ass	blades of ice	23	35		1		38	39		par1	par2	4						bladesoficecubes			34571	progressive_cold		par3		progressive_cold		progressive_tohit	par4																																																																																				9	9			bladesoficeexplode	bladesoficecubes										1	0		h2h	3		h2h										SQ	A1	xx	16			1		1	1								1		1			1					1					24	25					Claws of Thunder									1	1				1	1	8	3	0	1	1									1		0	% Damage Dealt as Elemental																			6	Radius for 2 Charges	3	Radius for 3 Charges	750	Duration	50	Attack Rating % per Charge	1	Freeze Length Divisor (Freeze Length = Cold Length / Freeze Length Divisor) (Used only if Etype = cold)					8	Damage synergy																									1	25	10						8	128														cold	15	8	10	20	30	40	35	8	10	22	32	42	(skill('Royal Strike'.blvl)) * par8	100	10	10	10		4		50	1000	0
Dragon Flight	275	ass	dragon flight	12	52																						par7																																																																					1	sorceress_teleport							dragonflight							5																	1		1	0		rng	4												SQ	A1	xx	21							1							1					1					1					24	25					Dragon Tail									1	1				1	1	8	15	0		1					1	0	1				ln12	Damage %																			100	Damage % baseline	35	Damage % per level									38	Range	1	Always Hit (0 = disabled | 1 = enabled only when Charges are consumed)																									1	60	25					1	8																																		13		50	1000	0
Death Sentry	276	ass	death sentry		45																																														item_pierce_magic_immunity	stat('item_pierce_magic_immunity'.accr)	passive_mag_pierce	stat('passive_mag_pierce'.accr)	passive_mag_mastery	stat('passive_mag_mastery'.accr)																							deathsentry	assassintrap	5 + stat('extra_traps'.accr)		S1	mon death sentry	lvl	Death Sentry	skill('Death Sentry'.blvl)							32			assassin_summon																																	1	0		none													S2	S2	S2				1	4															1										30	25														0	1				1	1	7	20	1	1	1											skill('Shock Field'.blvl)+skill('Charged Bolt Sentry'.blvl)+skill('Lightning Sentry'.blvl)	all ltng trap skills	skill('Fire Trauma'.blvl)+skill('Wake of Fire Sentry'.blvl)+skill('Flameburst Sentry'.blvl)	all fire trap skills	skill('Ice Barrage'.blvl)+skill('Snowlash Sentry'.blvl)+skill('Glacial Vortex Sentry'.blvl)	all cold trap skills	par1+(blvl/par6)	# of shots													5	# of shots (must match death sentry ltng Param8 & mon death sentry Param8)									5	base levels to gain an additional shot			10	Damage synergy																									1								8															mag	20	12	16	20	24	36	40	12	16	20	24	36	(clc1+clc2+clc3)*par8						3		50	1000	0
Blade Shield	277	ass	blade shield	28	54													blade shield attachment					33667	bladeshield		ln12	par4																																																																						assassin_bladeshield																																	1	0		none													SC	SC	SC				1																										30	25					Blade Fury									0	1				1	1	8	27	0	1	1		1	par3																												3000	Duration baseline	300	Duration per level	15	Periodic Damage Delay	6	Radius							10	Damage synergy																									1	25	15		32		3		8	96	10	4	5	6	7	11	20	5	6	7	8	12	(skill('Blade Sentinel'.blvl)+skill('Blade Fury'.blvl))*par8																				1		50	1000	0
Venom	278	ass	venom		18																			venomclaws		ln12		poisonmindam	enms	poisonmaxdam	exms	skill_poison_override_length	edma																																																																assassin_venom																																	1	0		none													SC	SC	SC				1																1										30	25					Fade			1						0	1				1	1	8	12	0	1	1																															3000	Duration baseline	300	Duration per level																																					1								6															pois	24	6	8	10	12	14	32	6	8	10	12	14		10					1		50	1000	0
Shadow Master	279	ass	shadow master		49																			shadowwarrior				tohit	lvl*par2	strength	lvl*10	dexterity	lvl*10	passive_fire_mastery	stat('passive_fire_mastery'.accr)	passive_ltng_pierce	stat('passive_ltng_pierce'.accr)	passive_ltng_mastery	stat('passive_ltng_mastery'.accr)												item_pierce_cold_immunity	stat('item_pierce_cold_immunity'.accr)	item_pierce_fire_immunity	stat('item_pierce_fire_immunity'.accr)	item_pierce_light_immunity	stat('item_pierce_light_immunity'.accr)	item_pierce_poison_immunity	stat('item_pierce_poison_immunity'.accr)	item_pierce_damage_immunity	stat('item_pierce_damage_immunity'.accr)	passive_fire_pierce	stat('passive_fire_pierce'.accr)																	shadowmaster	shadowmaster	1 + stat('extra_shadow_masters'.accr)		NU											42			assassin_summon																																	1	0		none													SC	SC	SC				1																1										30	25					Shadow Warrior							15		0	1				1	1	8	40	0	1	1																															15	HP % per level	40	Attack Rating % per level	5	Resistance % Min	90	Resistance % Max	24	Magic Item Level baseline	3	Magic Item Level per level																													1								8																																				50	1000	0
Royal Strike	280	ass	royal strike	23	34			40	143	41		par6	par5					royalstrikemeteorcenter	royalstrikechainlightning	royalstrikechaosice				progressive_other		par9	par1	progressive_other		progressive_tohit	par7																																																																																			14	83	15		royalstrikemeteorcenter	royalstrikechainlightning	royalstrikechaosice										1	0		h2h			mele										A1	A1	A2				1		1	1								1		1			1										30	25					Cobra Strike	Blades of Ice								1	1				1	1	8	4	0	1	1									1		par2	Meteor Explosion Radius																			8	Chain Lightning Radius of jump to next target	6	Meteor Explosion Radius	30	Duration of ground fire baseline	15	Duration of ground fire per level	16	# of Ice Bolt Missiles created	10	Chain Lightning Missiles Created Modifier (used as 64/#=Total Chain Lightning Missiles created) (if <=0, then use AuraRangeCalc)	25	Attack Rating % per Charge			750	Duration																							1	25	10						8	128																																	4	-3	50	1000	0
Wake Of Destruction Sentry	281				125													wake of destruction maker																																																																																														70						wake of destruction maker												1	0		none													SQ	SQ	S2				1																1										1															0	0									1	1																	par8+(skill('Wake of Fire Sentry'.blvl)/par6)	# of shots																							5	base levels to gain an additional shot			5	# of shots (must match Wake of Fire Sentry Param1)																									1								8																																					0	0
Imp Inferno	282			59	126													impinfernoflame1																																																																																														71						impinfernoflame1	impinfernoflame2			8	Missile Z Offset		Range per level (Duration of missile)					1	0		none													SQ	SQ	SC	6			1																										1															0	0									1	1											rand(par3,par4)	Anim Frame Adder (Min=1)	lvl-1	Range per level (Duration of missile)																	30	Range baseline (Duration of missile)			100	Anim Frame Adder Min	120	Anim Frame Adder Max																																	1								4															fire	18	15	22	22	22	22	37	15	22	22	22	22										0	0
Imp Fireball	283														impfireball		1																																																																																sorceress_cast_fire											fire_cast_2				72						impfireball				40	Missile Z Offset							1	0		none													SQ	SQ	S2				1																										1															0	0									1	1																																																																							1								8																																					0	0
Baal Taunt	284				28													baal taunt control																																																																																									monster_baal_taunt_1				46							baal taunt control												1	0		none													SQ	SQ	A1				1																										1															0	0									1	1											3	Delay in lightning 	45	Delay in poison clouds																	45	Delay in poison clouds	3	Delay in lightning 																																					1								8																																					0	0
Baal Corpse Explode	285				141																						ln34																																																																																																							1	0		none													SQ	SQ	S3				1																										1															0	0									1	1											0	Damage % of base HP for enemy Min	0	Damage % of base HP for enemy Max	0	% Damage Dealt as Elemental																			6	Explosion Radius (half squares) baseline	1	Explosion Radius (half squares) per level	40	Radius to search for corpses baseline	0	Radius to search for corpses per level																													1								8																																					0	0
Baal Monster Spawn	286														baal spawn monsters		1																																																																																baal_summon																				baal spawn monsters													1	0		none													SQ	SQ	S3				1																										1															0	0									1	1																																																																							1								8																																					0	0
Catapult Charged Ball	287				28													catapultchargedball																																																																																													47							catapultchargedball				16	Missile Fall Rate							1	0		none													SQ	SQ	A1				1																										1															0	0									1	1																	1	# of Bolt Missiles created (Min=1)																																																					1								8																																					0	0
Catapult Spike Ball	288				28													catapult spike ball																																																																																													47							catapult spike ball				16	Missile Fall Rate							1	0		none													SQ	SQ	A1				1																										1															0	0									1	1																	ln12	# of Spike Missiles created (Min=1)													20	# of Spike Missiles created baseline	5	# of Spike Missiles created per level																																					1								8																																					0	0
Suck Blood	289			60	127																																																																																																																													1	0		none													SQ	SQ	A1				1																										1															0	0									1	1											par1	Heal % based on Damage Dealt	0	Lifesteal %	0	Manasteal %															25	Heal % based on Damage Dealt																																							1								8		1						3																													0	0
Cry Help	290				128																	curseattract																																																																																																												1	0		none													SQ	SQ	S1				1																										1															0	0										1											ln12	Duration																			100	Duration baseline	20	Duration per level																																					1								8																																					0	0
Healing Vortex	291														healing vortex																																																																																																						healing vortex													1	0		none													SQ	SQ	S2				1																										1															0	0									1	1																																																																							1								8		10	5	5	5	5	5	20	5	5	5	5	5																								0	0
Teleport 2	292				98																																																																																																										48	73																		1	0		none													SQ	SQ	S1				1																										1															0	0									1	1																																																																							1								8																																					0	0
Self-resurrect	293			61																																																																																																											38																			1	0		none													SQ	SQ	S1				1																										1															0	0									1	1																																																																							1								8																																					0	0
Vine Attack	294				130													plague vines							slowed			velocitypercent	-100																																																																								druidpod_attack_1	druidpod_walk1_1	druidpod_neutral_1								49							vine beast attack	vines	vine beast walk 1	vine beast neutral	min(ln12,12)	# of vine Missiles created	35	Missile Delay	6	Min Distance between Missiles			1	0		none													SQ	SQ	S1				1																										1															0	0									1	1											min(ln12,24)	# of Missiles created					20	Frames to apply aura to target (Min=5)													3	# of Missiles created baseline	1	# of Missiles created per level																																					1								8																																					0	0
Overseer Whip	295				131																				bloodlust	par2		velocitypercent	par3	attackrate	par4	skill_armor_percent	par5	damagepercent	par6																																												suicideminion1				S1											33																																				1	0		none													SQ	SQ	A2				1																										1															0	0									1	1											par1	% chance to get Bloodlust																			65	% chance to get Bloodlust	250	Bloodlust Duration	80	Velocity %	80	Attack Speed %	50	Armor %	100	Damage %																													1								8																																					0	0
Barbs Aura	296				65																		42371	barbscontrol	barbs		ln12	damageresist	0-ln34	fireresist	0-ln34	coldresist	0-ln34	lightresist	0-ln34	poisonresist	0-ln34																																																																																													1	0		none													SQ	SQ	A1				1																										1															0	0									1	1	1																														30	Radius baseline (must match Spirit of Barbs Param7)	2	Radius per level (must match Spirit of Barbs Param8)	6	Phys Res Reduction baseline (must match Spirit of Barbs Param3)	1	Phys Res Reduction per level (must match Spirit of Barbs Param4)																																	1								8																																					0	0
Wolverine Aura	297				65																		65795	wolverinecontrol	wolverine		ln12	item_tohit_percent	ln34	damagepercent	ln56	attackrate	min(par9+blvl-1,30)	item_fastercastrate	min(par9+blvl-1,30)																																																																																															1	0		none													SQ	SQ	A1				1																										1															0	0									1	1	1																														30	Radius baseline (must match HoW Param7)	2	Radius per level (must match HoW Param8)	25	Attack Rating % baseline (must match HoW Param3)	7	Attack Rating % per level (must match HoW Param4)	15	Damage % baseline (must match HoW Param5)	5	Damage % per level (must match HoW Param6)					6	Base IAS/FCR (must match Wolverine Aura)	1	Max IAS/BaseFCR (must match Wolverine Aura)																					1								8																																					0	0
Oak Sage Aura	298				65																		65795	oaksagecontrol	oaksage		ln12	item_maxhp_percent	dm34																																																																																																					1	0		none													SQ	SQ	A1				1																										1															0	0									1	1	1																														30	Radius baseline (must match Oak Sage Param7)	2	Radius per level (must match Oak Sage Param8)	5	HP % min (must match Oak Sage Param1)	100	HP % max (must match Oak Sage Param2)																																	1								8																																					0	0
Imp Fire Missile	299				132													impmiss21																																																																															sorceress_cast_fire											fist_will_cast									impmiss21													1	0		none													A1	A1	A1																														1															0	0									1	1																																																																							1								8																																					0	0
Impregnate	300				133																																																																										painworm1				NU																																															1	0		none													S1	S1	S1				1																										1															0	0									1	1																																																																							1								8																																					0	0
Siege Beast Stomp	301				134																						par5																																																																																	siege_beast_dust				75																			0		none													A2	A2	A2				1																										1															0	0									1	1																															8	Camera Screen Shake Magnitude	5	Camera Screen Shake Build Up Duration	20	Camera Screen Shake Loop Duration	15	Camera Screen Shake Fade Duration	25	Radius																															1				1				8		20	10	10	10	10	10	60	10	10	10	10	10																								0	0
MinionSpawner	302			62	135																																																																																										spawnedminion																																			1	0		none													A1	A1	A1																														1															0	0									1	1																																																																							1								8																																					0	0
CatapultBlizzard	303				28													catapult cold ball																																																																																													47							catapult cold ball				16	Missile Fall Rate							1	0		none													A1	A1	A1																														1															0	0									1	1																																																																							1								8																																					0	0
CatapultPlague	304				28													catapult plague ball																																																																																													47							catapult plague ball				16	Missile Fall Rate							1	0		none													A1	A1	A1																														1															0	0									1	1																																																																							1								8																																					0	0
CatapultMeteor	305				28													catapult meteor ball									par1																																																																																				47							catapult meteor ball				16	Missile Fall Rate							1	0		none													A1	A1	A1																														1															0	0									1	1																															5	Explosion Radius			50	Duration of ground fire baseline	3	Duration of ground fire per level																																	1								8																																					0	0
BoltSentry	306				17													sentrychargedbolt																																																																																														23						sentrychargedbolt												1	0		none													SC	SC	xx																														1															0	0									1	1											min(par1+(lvl/par5),10)	# of Bolt Missiles created					par8+(skill('Charged Bolt Sentry'.blvl)/par6)	# of shots													5	# of Bolt Missiles created baseline (must match Charged Bolt Sentry Param3)	1	# of Bolt Missiles created per par5 levels (must match Charged Bolt Sentry Param4)					5	levels to gain another bolt	5	base levels to gain an additional shot			5	# of shots (must match Charged Bolt Sentry Param1)																									1								8																																					0	0
CorpseCycler	307			63														recycler delay									10																																																																																				49			93				vine beast attack	recycler delay											1	0		none													SQ	SQ	S1				1							1																			1															0	0									1	1											dm12	Lifesteal %	dm34	Manasteal %																	3	Lifesteal % Min (must match CorpseCycler Param5)	12	Lifesteal % Max (must match CorpseCycler Param6)	3	Manasteal % Min	12	Manasteal % Max																																	1								8																																					0	0
DeathMaul	308				136													death mauler																																																																																														76						death mauler	death mauler trail											1	0		none													A1	A1	xx																														1															0	0									1	1											96	Missile Anim Rate																																																											1								8		10	4	4	4	4	4	20	4	4	4	4	4																								0	0
